condition,seed,family,family_ko,signal,contributors,area_share,largest_blob_share,pieces,weighted_coverage,spread,has_territory
T0,4,MUSK,머스크·파우더리,18.0,18,0.1124,0.5509,4,0.7222,1.139,False
T0w,42,CITRUS,시트러스,7.57,23,0.117,0.9688,2,0.8619,0.275,True
T0w,42,FRUITY,프루티,2.62,8,0.0449,0.6829,2,1.0,0.148,True
T0w,42,FLORAL,플로럴,26.92,61,0.2756,0.843,4,0.9119,0.485,True
T0w,42,GREEN,그린·아로마틱,7.72,21,0.1612,0.6693,2,1.0,0.344,True
T0w,42,AQUATIC,아쿠아틱,4.41,12,0.0613,0.8244,4,0.8573,0.5,True
T0w,42,WOODY,우디,9.27,23,0.0896,0.9593,2,0.782,0.454,True
T0w,42,AMBER,앰버·스파이시,5.27,14,0.0854,0.9872,2,0.8342,0.342,True
T0w,42,GOURMAND,구르망,9.7,20,0.0752,0.784,3,0.8447,0.31,True
T0w,42,MUSK,머스크·파우더리,6.77,18,0.0898,0.5813,4,0.829,0.826,False
T0w,1,CITRUS,시트러스,7.57,23,0.1013,0.997,1,0.8084,0.259,True
T0w,1,FRUITY,프루티,2.62,8,0.0319,0.8774,2,1.0,0.133,True
T0w,1,FLORAL,플로럴,26.92,61,0.293,0.881,3,0.8776,0.506,True
T0w,1,GREEN,그린·아로마틱,7.72,21,0.1415,0.7643,2,0.8958,0.348,True
T0w,1,AQUATIC,아쿠아틱,4.41,12,0.0571,0.8421,3,0.9392,0.547,True
T0w,1,WOODY,우디,9.27,23,0.1535,0.9393,2,0.8569,0.412,True
T0w,1,AMBER,앰버·스파이시,5.27,14,0.0742,0.9919,1,0.8453,0.289,True
T0w,1,GOURMAND,구르망,9.7,20,0.0619,0.8883,2,0.8438,0.251,True
T0w,1,MUSK,머스크·파우더리,6.77,18,0.0856,0.607,5,0.7628,0.811,True
T0w,2,CITRUS,시트러스,7.57,23,0.1095,0.9138,3,0.8619,0.274,True
T0w,2,FRUITY,프루티,2.62,8,0.0331,0.9603,2,1.0,0.13,True
T0w,2,FLORAL,플로럴,26.92,61,0.2853,0.9038,3,0.8778,0.487,True
T0w,2,GREEN,그린·아로마틱,7.72,21,0.154,0.7208,2,0.911,0.343,True
T0w,2,AQUATIC,아쿠아틱,4.41,12,0.0658,0.74,2,1.0,0.511,True
T0w,2,WOODY,우디,9.27,23,0.1135,1.0,1,0.8492,0.403,True
T0w,2,AMBER,앰버·스파이시,5.27,14,0.0851,0.9742,2,0.8927,0.34,True
T0w,2,GOURMAND,구르망,9.7,20,0.0678,0.8414,2,0.8752,0.292,True
T0w,2,MUSK,머스크·파우더리,6.77,18,0.0858,0.6573,5,0.8113,0.745,True
T0w,3,CITRUS,시트러스,7.57,23,0.1034,0.9978,1,0.8619,0.222,True
T0w,3,FRUITY,프루티,2.62,8,0.0159,0.6377,3,1.0,0.108,False
T0w,3,FLORAL,플로럴,26.92,61,0.2705,0.8658,3,0.862,0.45,True
T0w,3,GREEN,그린·아로마틱,7.72,21,0.1402,0.7049,2,0.9685,0.303,True
T0w,3,AQUATIC,아쿠아틱,4.41,12,0.0848,0.7425,3,1.0,0.568,True
T0w,3,WOODY,우디,9.27,23,0.1186,0.9341,3,0.8557,0.344,True
T0w,3,AMBER,앰버·스파이시,5.27,14,0.0843,0.97,2,0.8927,0.311,True
T0w,3,GOURMAND,구르망,9.7,20,0.082,0.8768,2,0.8066,0.29,True
T0w,3,MUSK,머스크·파우더리,6.77,18,0.1004,0.6064,4,0.7596,0.853,True
T0w,4,CITRUS,시트러스,7.57,23,0.1024,0.9946,1,0.9314,0.284,True
T0w,4,FRUITY,프루티,2.62,8,0.0332,0.7479,2,1.0,0.161,True
T0w,4,FLORAL,플로럴,26.92,61,0.2949,0.8884,3,0.8867,0.492,True
T0w,4,GREEN,그린·아로마틱,7.72,21,0.1387,1.0,1,0.8793,0.339,True
T0w,4,AQUATIC,아쿠아틱,4.41,12,0.0695,0.8474,2,0.7953,0.487,True
T0w,4,WOODY,우디,9.27,23,0.1339,0.9271,2,0.8892,0.449,True
T0w,4,AMBER,앰버·스파이시,5.27,14,0.0745,1.0,1,0.8342,0.338,True
T0w,4,GOURMAND,구르망,9.7,20,0.0505,0.779,3,0.8769,0.268,True
T0w,4,MUSK,머스크·파우더리,6.77,18,0.1024,0.6213,6,0.7312,0.962,True
T1,42,CITRUS,시트러스,8.54,26,0.1122,0.9756,2,0.8385,0.273,True
T1,42,FRUITY,프루티,2.93,9,0.0529,0.6897,2,0.895,0.187,True
T1,42,FLORAL,플로럴,29.06,67,0.274,0.8794,3,0.8049,0.509,True
T1,42,GREEN,그린·아로마틱,9.34,26,0.1672,0.6638,2,0.7972,0.478,True
T1,42,AQUATIC,아쿠아틱,4.41,12,0.0509,0.8674,3,0.8573,0.5,True
T1,42,WOODY,우디,10.92,28,0.1177,0.9287,2,0.6988,0.55,True
T1,42,AMBER,앰버·스파이시,5.27,14,0.0745,1.0,1,0.8342,0.342,True
T1,42,GOURMAND,구르망,10.68,23,0.0741,0.8079,2,0.7671,0.358,True
T1,42,MUSK,머스크·파우더리,8.57,23,0.0765,0.7494,3,0.838,0.726,True
T1,1,CITRUS,시트러스,8.54,26,0.101,1.0,1,0.8743,0.253,True
T1,1,FRUITY,프루티,2.93,9,0.0418,1.0,1,0.895,0.165,True
T1,1,FLORAL,플로럴,29.06,67,0.2954,0.9013,2,0.7678,0.538,True
T1,1,GREEN,그린·아로마틱,9.34,26,0.1532,0.7627,2,0.759,0.476,True
T1,1,AQUATIC,아쿠아틱,4.41,12,0.043,0.8601,3,0.9392,0.547,True
T1,1,WOODY,우디,10.92,28,0.1635,0.9412,2,0.7272,0.489,True
T1,1,AMBER,앰버·스파이시,5.27,14,0.0712,1.0,1,0.7868,0.289,True
T1,1,GOURMAND,구르망,10.68,23,0.0643,0.8645,2,0.7664,0.289,True
T1,1,MUSK,머스크·파우더리,8.57,23,0.0667,0.8829,3,0.7836,0.706,True
T1,2,CITRUS,시트러스,8.54,26,0.108,0.9959,1,0.8743,0.271,True
T1,2,FRUITY,프루티,2.93,9,0.0369,0.7024,2,0.895,0.159,True
T1,2,FLORAL,플로럴,29.06,67,0.2818,0.8956,4,0.8037,0.51,True
T1,2,GREEN,그린·아로마틱,9.34,26,0.1525,0.7151,2,0.7593,0.468,True
T1,2,AQUATIC,아쿠아틱,4.41,12,0.052,0.7511,2,0.6278,0.511,True
T1,2,WOODY,우디,10.92,28,0.1385,1.0,1,0.7194,0.481,True
T1,2,AMBER,앰버·스파이시,5.27,14,0.0783,0.9888,1,0.8453,0.34,True
T1,2,GOURMAND,구르망,10.68,23,0.0689,0.8344,2,0.7949,0.346,True
T1,2,MUSK,머스크·파우더리,8.57,23,0.0832,0.7493,4,0.8646,0.653,True
T1,3,CITRUS,시트러스,8.54,26,0.0988,1.0,1,0.7911,0.222,True
T1,3,FRUITY,프루티,2.93,9,0.0301,0.916,2,0.895,0.13,True
T1,3,FLORAL,플로럴,29.06,67,0.2686,0.8683,3,0.8024,0.471,True
T1,3,GREEN,그린·아로마틱,9.34,26,0.1445,0.6995,2,0.7951,0.432,True
T1,3,AQUATIC,아쿠아틱,4.41,12,0.0724,0.781,3,0.938,0.568,True
T1,3,WOODY,우디,10.92,28,0.1427,0.9179,4,0.7246,0.445,True
T1,3,AMBER,앰버·스파이시,5.27,14,0.0786,0.9942,1,0.8342,0.311,True
T1,3,GOURMAND,구르망,10.68,23,0.0915,0.8668,2,0.7664,0.338,True
T1,3,MUSK,머스크·파우더리,8.57,23,0.0728,0.8707,4,0.7817,0.732,True
T1,4,CITRUS,시트러스,8.54,26,0.1038,0.9946,1,0.8743,0.282,True
T1,4,FRUITY,프루티,2.93,9,0.041,0.7347,2,0.895,0.191,True
T1,4,FLORAL,플로럴,29.06,67,0.2921,0.9121,3,0.7837,0.52,True
T1,4,GREEN,그린·아로마틱,9.34,26,0.1476,1.0,1,0.7016,0.46,True
T1,4,AQUATIC,아쿠아틱,4.41,12,0.0569,0.8382,2,0.737,0.487,True
T1,4,WOODY,우디,10.92,28,0.1462,0.9294,2,0.7874,0.561,True
T1,4,AMBER,앰버·스파이시,5.27,14,0.0703,1.0,1,0.8342,0.338,True
T1,4,GOURMAND,구르망,10.68,23,0.0519,0.7581,3,0.7664,0.299,True
T1,4,MUSK,머스크·파우더리,8.57,23,0.0901,0.774,4,0.838,0.84,True
T2,42,CITRUS,시트러스,12.91,44,0.13,1.0,1,0.6905,0.401,True
T2,42,FRUITY,프루티,7.31,28,0.0883,1.0,1,0.5834,0.411,True
T2,42,FLORAL,플로럴,33.43,85,0.2402,0.9217,4,0.6374,0.598,True
T2,42,GREEN,그린·아로마틱,15.5,51,0.1641,0.7175,4,0.5673,0.503,True
T2,42,AQUATIC,아쿠아틱,4.9,14,0.0409,0.9955,1,0.773,0.608,True
T2,42,WOODY,우디,14.59,44,0.1017,0.912,2,0.5625,0.584,True
T2,42,AMBER,앰버·스파이시,11.33,40,0.1159,0.9795,2,0.5156,0.659,True
T2,42,GOURMAND,구르망,15.81,45,0.0591,0.8611,2,0.4391,0.567,False
T2,42,MUSK,머스크·파우더리,15.35,51,0.0599,0.9939,1,0.457,0.954,False
T2,1,CITRUS,시트러스,12.91,44,0.137,1.0,1,0.672,0.392,True
T2,1,FRUITY,프루티,7.31,28,0.0646,1.0,1,0.5549,0.398,True
T2,1,FLORAL,플로럴,33.43,85,0.2563,0.9812,2,0.6389,0.633,True
T2,1,GREEN,그린·아로마틱,15.5,51,0.1559,0.8227,2,0.5531,0.489,True
T2,1,AQUATIC,아쿠아틱,4.9,14,0.0309,0.9903,1,0.6966,0.662,True
T2,1,WOODY,우디,14.59,44,0.1169,0.5321,2,0.5387,0.504,False
T2,1,AMBER,앰버·스파이시,11.33,40,0.1166,1.0,1,0.4849,0.56,False
T2,1,GOURMAND,구르망,15.81,45,0.0589,0.8418,2,0.4946,0.482,False
T2,1,MUSK,머스크·파우더리,15.35,51,0.0628,0.9378,2,0.473,0.968,False
T2,2,CITRUS,시트러스,12.91,44,0.1321,1.0,1,0.6466,0.402,True
T2,2,FRUITY,프루티,7.31,28,0.0764,1.0,1,0.5834,0.411,True
T2,2,FLORAL,플로럴,33.43,85,0.2442,0.9461,3,0.6546,0.604,True
T2,2,GREEN,그린·아로마틱,15.5,51,0.1378,0.8646,2,0.5522,0.49,True
T2,2,AQUATIC,아쿠아틱,4.9,14,0.0281,0.8281,2,0.4876,0.627,False
T2,2,WOODY,우디,14.59,44,0.1312,1.0,1,0.5387,0.521,True
T2,2,AMBER,앰버·스파이시,11.33,40,0.1253,0.993,1,0.5193,0.623,True
T2,2,GOURMAND,구르망,15.81,45,0.0586,0.8539,2,0.4715,0.558,False
T2,2,MUSK,머스크·파우더리,15.35,51,0.0663,0.9735,2,0.4365,0.887,False
T2,3,CITRUS,시트러스,12.91,44,0.1358,0.9983,1,0.672,0.374,True
T2,3,FRUITY,프루티,7.31,28,0.0719,1.0,1,0.5516,0.399,True
T2,3,FLORAL,플로럴,33.43,85,0.2339,0.9489,2,0.6499,0.557,True
T2,3,GREEN,그린·아로마틱,15.5,51,0.128,0.8133,2,0.5189,0.458,True
T2,3,AQUATIC,아쿠아틱,4.9,14,0.0524,0.9737,2,0.7696,0.679,True
T2,3,WOODY,우디,14.59,44,0.1206,0.9943,1,0.5813,0.478,True
T2,3,AMBER,앰버·스파이시,11.33,40,0.122,0.9925,1,0.5428,0.616,True
T2,3,GOURMAND,구르망,15.81,45,0.0692,0.9169,2,0.4198,0.522,False
T2,3,MUSK,머스크·파우더리,15.35,51,0.0662,1.0,1,0.473,0.953,False
T2,4,CITRUS,시트러스,12.91,44,0.1177,1.0,1,0.6508,0.413,True
T2,4,FRUITY,프루티,7.31,28,0.0564,1.0,1,0.5834,0.399,True
T2,4,FLORAL,플로럴,33.43,85,0.2759,0.9333,3,0.6338,0.608,True
T2,4,GREEN,그린·아로마틱,15.5,51,0.1671,1.0,1,0.5531,0.499,True
T2,4,AQUATIC,아쿠아틱,4.9,14,0.0324,0.8879,2,0.7171,0.584,True
T2,4,WOODY,우디,14.59,44,0.1247,0.9821,2,0.5887,0.582,True
T2,4,AMBER,앰버·스파이시,11.33,40,0.0971,1.0,1,0.5156,0.646,True
T2,4,GOURMAND,구르망,15.81,45,0.0466,0.8443,2,0.4198,0.484,False
T2,4,MUSK,머스크·파우더리,15.35,51,0.082,0.8844,2,0.4903,1.059,False
T3,42,CITRUS,시트러스,16.26,63,0.1409,1.0,1,0.5684,0.521,True
T3,42,FRUITY,프루티,10.12,44,0.1079,0.9492,2,0.5717,0.518,True
T3,42,FLORAL,플로럴,35.29,96,0.2212,0.9744,3,0.5774,0.667,True
T3,42,GREEN,그린·아로마틱,19.28,73,0.1588,0.8,2,0.4541,0.65,False
T3,42,AQUATIC,아쿠아틱,5.76,19,0.0436,1.0,1,0.6577,0.689,True
T3,42,WOODY,우디,18.27,65,0.0984,1.0,1,0.424,0.715,False
T3,42,AMBER,앰버·스파이시,14.31,57,0.1177,0.955,3,0.4207,0.688,False
T3,42,GOURMAND,구르망,17.72,56,0.0517,0.9611,2,0.3565,0.593,False
T3,42,MUSK,머스크·파우더리,18.02,66,0.0599,1.0,1,0.4029,0.983,False
T3,1,CITRUS,시트러스,16.26,63,0.1436,1.0,1,0.5536,0.542,True
T3,1,FRUITY,프루티,10.12,44,0.0739,1.0,1,0.4559,0.523,False
T3,1,FLORAL,플로럴,35.29,96,0.2473,0.9964,1,0.5946,0.703,True
T3,1,GREEN,그린·아로마틱,19.28,73,0.143,0.8256,2,0.4168,0.634,False
T3,1,AQUATIC,아쿠아틱,5.76,19,0.0385,1.0,1,0.6577,0.763,True
T3,1,WOODY,우디,18.27,65,0.1337,1.0,1,0.4653,0.63,False
T3,1,AMBER,앰버·스파이시,14.31,57,0.1052,0.9971,1,0.384,0.601,False
T3,1,GOURMAND,구르망,17.72,56,0.0559,0.8763,2,0.4412,0.51,False
T3,1,MUSK,머스크·파우더리,18.02,66,0.0589,1.0,1,0.4029,0.994,False
T3,2,CITRUS,시트러스,16.26,63,0.1481,0.997,1,0.5536,0.531,True
T3,2,FRUITY,프루티,10.12,44,0.0904,0.9951,1,0.5,0.536,True
T3,2,FLORAL,플로럴,35.29,96,0.2256,0.999,1,0.5962,0.675,True
T3,2,GREEN,그린·아로마틱,19.28,73,0.1238,0.8883,3,0.4198,0.632,False
T3,2,AQUATIC,아쿠아틱,5.76,19,0.0296,1.0,1,0.4149,0.704,False
T3,2,WOODY,우디,18.27,65,0.1426,1.0,1,0.5128,0.65,True
T3,2,AMBER,앰버·스파이시,14.31,57,0.1198,0.9963,1,0.4086,0.655,False
T3,2,GOURMAND,구르망,17.72,56,0.0544,0.8992,2,0.4026,0.584,False
T3,2,MUSK,머스크·파우더리,18.02,66,0.0656,1.0,1,0.3855,0.928,False
T3,3,CITRUS,시트러스,16.26,63,0.1459,0.9984,1,0.5724,0.51,True
T3,3,FRUITY,프루티,10.12,44,0.0875,1.0,1,0.47,0.556,False
T3,3,FLORAL,플로럴,35.29,96,0.2086,0.9989,1,0.5842,0.629,True
T3,3,GREEN,그린·아로마틱,19.28,73,0.1158,0.869,2,0.3695,0.605,False
T3,3,AQUATIC,아쿠아틱,5.76,19,0.0531,1.0,1,0.6548,0.771,True
T3,3,WOODY,우디,18.27,65,0.131,1.0,1,0.5133,0.624,True
T3,3,AMBER,앰버·스파이시,14.31,57,0.1239,0.9796,2,0.4272,0.639,False
T3,3,GOURMAND,구르망,17.72,56,0.068,0.9223,2,0.3949,0.548,False
T3,3,MUSK,머스크·파우더리,18.02,66,0.0662,1.0,1,0.4029,0.978,False
T3,4,CITRUS,시트러스,16.26,63,0.135,1.0,1,0.5724,0.539,True
T3,4,FRUITY,프루티,10.12,44,0.0661,1.0,1,0.4765,0.499,False
T3,4,FLORAL,플로럴,35.29,96,0.2626,0.9926,2,0.5936,0.674,True
T3,4,GREEN,그린·아로마틱,19.28,73,0.1593,1.0,1,0.4269,0.654,False
T3,4,AQUATIC,아쿠아틱,5.76,19,0.0366,0.8931,2,0.5565,0.705,True
T3,4,WOODY,우디,18.27,65,0.1247,1.0,1,0.5019,0.718,True
T3,4,AMBER,앰버·스파이시,14.31,57,0.0957,1.0,1,0.3933,0.681,False
T3,4,GOURMAND,구르망,17.72,56,0.0432,0.9097,2,0.3565,0.514,False
T3,4,MUSK,머스크·파우더리,18.02,66,0.0767,0.9455,2,0.4177,1.068,False
T4,42,CITRUS,시트러스,13.28,47,0.1383,0.9828,2,0.6534,0.456,True
T4,42,FRUITY,프루티,8.45,36,0.1018,0.9695,2,0.5786,0.512,True
T4,42,FLORAL,플로럴,31.97,79,0.2187,0.9416,3,0.6285,0.583,True
T4,42,GREEN,그린·아로마틱,15.53,53,0.1739,0.744,2,0.5663,0.672,True
T4,42,AQUATIC,아쿠아틱,5.09,15,0.0387,1.0,1,0.7446,0.681,True
T4,42,WOODY,우디,13.64,40,0.1013,1.0,1,0.5519,0.607,True
T4,42,AMBER,앰버·스파이시,9.41,32,0.0991,1.0,1,0.5765,0.598,True
T4,42,GOURMAND,구르망,15.55,45,0.067,0.7711,2,0.4464,0.57,False
T4,42,MUSK,머스크·파우더리,15.23,53,0.0611,1.0,1,0.473,0.956,False
T4,1,CITRUS,시트러스,13.28,47,0.1424,1.0,1,0.6534,0.462,True
T4,1,FRUITY,프루티,8.45,36,0.0781,1.0,1,0.4886,0.496,False
T4,1,FLORAL,플로럴,31.97,79,0.2329,0.991,1,0.6477,0.62,True
T4,1,GREEN,그린·아로마틱,15.53,53,0.1758,0.7726,2,0.5663,0.655,True
T4,1,AQUATIC,아쿠아틱,5.09,15,0.0273,0.6703,2,0.671,0.744,False
T4,1,WOODY,우디,13.64,40,0.1385,1.0,1,0.5859,0.527,True
T4,1,AMBER,앰버·스파이시,9.41,32,0.076,0.996,1,0.518,0.495,True
T4,1,GOURMAND,구르망,15.55,45,0.0691,0.7609,2,0.5224,0.481,True
T4,1,MUSK,머스크·파우더리,15.23,53,0.0598,0.9849,1,0.4555,0.978,False
T4,2,CITRUS,시트러스,13.28,47,0.1411,1.0,1,0.6534,0.467,True
T4,2,FRUITY,프루티,8.45,36,0.086,0.9898,1,0.4886,0.518,False
T4,2,FLORAL,플로럴,31.97,79,0.2276,0.9634,2,0.6722,0.589,True
T4,2,GREEN,그린·아로마틱,15.53,53,0.1547,0.7915,2,0.5591,0.659,True
T4,2,AQUATIC,아쿠아틱,5.09,15,0.0257,0.8889,2,0.4697,0.702,False
T4,2,WOODY,우디,13.64,40,0.1306,1.0,1,0.6078,0.538,True
T4,2,AMBER,앰버·스파이시,9.41,32,0.1016,1.0,1,0.5481,0.557,True
T4,2,GOURMAND,구르망,15.55,45,0.0652,0.7811,2,0.4984,0.563,False
T4,2,MUSK,머스크·파우더리,15.23,53,0.0676,0.9838,1,0.4348,0.89,False
T4,3,CITRUS,시트러스,13.28,47,0.1369,1.0,1,0.6601,0.432,True
T4,3,FRUITY,프루티,8.45,36,0.0878,0.9948,1,0.5344,0.537,True
T4,3,FLORAL,플로럴,31.97,79,0.2102,0.9454,2,0.656,0.542,True
T4,3,GREEN,그린·아로마틱,15.53,53,0.1441,0.7847,2,0.5233,0.627,True
T4,3,AQUATIC,아쿠아틱,5.09,15,0.0508,0.9412,2,0.7413,0.766,True
T4,3,WOODY,우디,13.64,40,0.1186,1.0,1,0.6078,0.5,True
T4,3,AMBER,앰버·스파이시,9.41,32,0.1094,1.0,1,0.5765,0.56,True
T4,3,GOURMAND,구르망,15.55,45,0.0761,0.8308,2,0.4268,0.52,False
T4,3,MUSK,머스크·파우더리,15.23,53,0.0662,1.0,1,0.4555,0.958,False
T4,4,CITRUS,시트러스,13.28,47,0.1244,1.0,1,0.6763,0.463,True
T4,4,FRUITY,프루티,8.45,36,0.0728,0.9962,1,0.4886,0.496,False
T4,4,FLORAL,플로럴,31.97,79,0.2559,0.9433,3,0.6628,0.593,True
T4,4,GREEN,그린·아로마틱,15.53,53,0.1775,0.9984,1,0.5437,0.659,True
T4,4,AQUATIC,아쿠아틱,5.09,15,0.0326,0.8718,3,0.63,0.654,True
T4,4,WOODY,우디,13.64,40,0.1219,1.0,1,0.5966,0.604,True
T4,4,AMBER,앰버·스파이시,9.41,32,0.0848,1.0,1,0.5481,0.585,True
T4,4,GOURMAND,구르망,15.55,45,0.0508,0.7747,2,0.4598,0.48,False
T4,4,MUSK,머스크·파우더리,15.23,53,0.0792,0.9155,3,0.5036,1.056,True
T5,42,CITRUS,시트러스,17.65,76,0.1409,1.0,1,0.5237,0.606,True
T5,42,FRUITY,프루티,11.45,54,0.1183,0.9043,2,0.5367,0.564,True
T5,42,FLORAL,플로럴,35.28,97,0.2146,0.9821,2,0.5567,0.673,True
T5,42,GREEN,그린·아로마틱,20.33,87,0.1571,0.7956,2,0.4167,0.726,False
T5,42,AQUATIC,아쿠아틱,5.61,18,0.0416,1.0,1,0.6756,0.703,True
T5,42,WOODY,우디,18.9,73,0.0938,1.0,1,0.3977,0.782,False
T5,42,AMBER,앰버·스파이시,14.09,60,0.1227,0.9405,3,0.4272,0.732,False
T5,42,GOURMAND,구르망,18.31,62,0.0504,0.9601,2,0.3617,0.618,False
T5,42,MUSK,머스크·파우더리,18.49,72,0.0606,1.0,1,0.3926,0.978,False
T5,1,CITRUS,시트러스,17.65,76,0.143,1.0,1,0.5101,0.64,True
T5,1,FRUITY,프루티,11.45,54,0.0745,1.0,1,0.4175,0.556,False
T5,1,FLORAL,플로럴,35.28,97,0.2461,0.9988,1,0.5844,0.711,True
T5,1,GREEN,그린·아로마틱,20.33,87,0.1514,0.8274,2,0.3918,0.712,False
T5,1,AQUATIC,아쿠아틱,5.61,18,0.0346,1.0,1,0.6756,0.78,True
T5,1,WOODY,우디,18.9,73,0.1319,1.0,1,0.4574,0.692,False
T5,1,AMBER,앰버·스파이시,14.09,60,0.1049,0.9971,1,0.3957,0.643,False
T5,1,GOURMAND,구르망,18.31,62,0.0541,0.8722,2,0.4067,0.529,False
T5,1,MUSK,머스크·파우더리,18.49,72,0.0595,0.9899,1,0.3926,0.976,False
T5,2,CITRUS,시트러스,17.65,76,0.1501,1.0,1,0.4915,0.629,False
T5,2,FRUITY,프루티,11.45,54,0.0977,0.9528,2,0.467,0.577,False
T5,2,FLORAL,플로럴,35.28,97,0.2223,1.0,1,0.586,0.682,True
T5,2,GREEN,그린·아로마틱,20.33,87,0.1363,0.9018,2,0.3964,0.71,False
T5,2,AQUATIC,아쿠아틱,5.61,18,0.0226,0.8252,2,0.4261,0.718,False
T5,2,WOODY,우디,18.9,73,0.1317,1.0,1,0.4734,0.715,False
T5,2,AMBER,앰버·스파이시,14.09,60,0.1216,0.9928,1,0.4338,0.7,False
T5,2,GOURMAND,구르망,18.31,62,0.0516,0.9064,2,0.3814,0.604,False
T5,2,MUSK,머스크·파우더리,18.49,72,0.0663,1.0,1,0.3756,0.92,False
T5,3,CITRUS,시트러스,17.65,76,0.145,1.0,1,0.5273,0.614,True
T5,3,FRUITY,프루티,11.45,54,0.0889,1.0,1,0.4347,0.596,False
T5,3,FLORAL,플로럴,35.28,97,0.2059,1.0,1,0.5714,0.634,True
T5,3,GREEN,그린·아로마틱,20.33,87,0.1259,0.8449,3,0.3544,0.684,False
T5,3,AQUATIC,아쿠아틱,5.61,18,0.0499,0.9954,1,0.6267,0.787,True
T5,3,WOODY,우디,18.9,73,0.128,1.0,1,0.4874,0.697,False
T5,3,AMBER,앰버·스파이시,14.09,60,0.1234,0.9795,2,0.4338,0.682,False
T5,3,GOURMAND,구르망,18.31,62,0.0669,0.9107,2,0.3823,0.565,False
