candidate,description,gate_a_delta,gate_a,gate_b_trust10_global,gate_b,passes_both,axis1_cohesion_ratio_korea,axis1_cohesion_ratio_global,axis2_shared_note_ge1,axis2_shared_rare_accord_ge1,axis2_nearest_unexplained,axis3_y_warmth_rho,axis3_x_masculine_rho,axis3_y_warmth_rho_seedmean,axis3_x_masculine_rho_seedmean,rec_reminds_pct_korea,rec_trust10_korea,rec_seed_std,rec_collapsed,rec_fragments,rec_on_own_region
C1 post-hoc,좌표 유지 + 계열 밀도 영역,0.0,True,0.9387,True,True,3.264,4.187,0.7515,0.6845,15,0.4162,0.7528,0.4162,0.7528,0.176,0.9191,0.0,False,24,0.805
C3 semi w=0.35,margin>=0.1 인 향수만 라벨,0.0152,True,0.9424,True,True,3.563,4.808,0.7745,0.725,12,0.513,0.7382,0.4617,0.7367,0.1623,0.9217,0.056,False,24,0.82
C3 semi w=0.5,margin>=0.1 인 향수만 라벨,0.0157,True,0.9451,True,True,3.633,4.729,0.7635,0.711,14,0.5026,0.7344,0.475,0.7316,0.1637,0.9144,0.03,False,22,0.86
C5 wheel anchor,계열 앵커 원배치 + Family Score,0.0403,True,0.7068,False,False,2.319,2.868,0.68,0.6205,40,0.5617,0.5121,0.5617,0.5121,0.3095,0.7172,0.0,False,25,0.77
C8a perception b=0.15,인식 축만 거리에 섞음 (계열 무관),-0.0751,True,0.9193,True,True,3.069,4.046,0.767,0.708,11,0.5352,0.737,0.5627,0.7515,0.1318,0.9116,0.04,False,17,0.765
C8b family .35 + perc .15,계열 + 인식 축을 함께 섞음,-0.0342,True,0.9191,True,True,3.913,5.061,0.7575,0.7335,11,0.5321,0.7541,0.5967,0.7271,0.147,0.9099,0.041,False,15,0.86
