layout,trust_at_10,trust_at_20,knn_overlap_at_10
pca,0.615490514905149,0.6185058997050148,0.11
umap_nn10_md0.1,0.9191382113821138,0.8987182890855457,0.4875
umap_nn10_md0.3,0.9060867208672087,0.8904070796460177,0.47450000000000003
umap_nn15_md0.1,0.9141761517615177,0.9002330383480825,0.48599999999999993
umap_nn15_md0.3,0.9107723577235772,0.9005884955752212,0.4645
umap_nn30_md0.1,0.8987317073170732,0.8871312684365782,0.45549999999999996
umap_nn30_md0.3,0.8872818428184281,0.8876386430678466,0.43
