selection,n,groups,accords,brands,top10_brand_share,vote_count_min,vote_count_median,reminds_edges,confident_edges,nodes_with_confident_edge
A_popularity_top1000,1000,4,42,182,29.6,3309,5579,2387,915,508
B_group_then_accord,1000,4,58,223,25.3,501,5266,2255,872,467
