note,accord,p,lift
Chrysanthemum,fresh spicy,0.663,1.8505
Chrysanthemum,floral,0.6087,1.7238
Chrysanthemum,aromatic,0.6087,1.4706
Chrysanthemum,woody,0.5,0.8101
Cinammon,warm spicy,0.8113,2.3619
Cinammon,woody,0.6226,1.0088
Cinammon,cinnamon,0.5849,18.1185
Cinammon,sweet,0.5472,1.1907
Cinnamon,warm spicy,0.8543,2.4871
Cinnamon,woody,0.693,1.1227
Cinnamon,cinnamon,0.5038,15.6059
Cinnamon,amber,0.5013,1.4543
Cinnamon Leaf,warm spicy,0.902,2.6257
Cinnamon Leaf,woody,0.7843,1.2707
Cinnamon Leaf,aromatic,0.6373,1.5396
Cinnamon Leaf,fresh spicy,0.549,1.5323
Cinnamon Leaf,amber,0.5294,1.5358
Cistus Incanus,woody,0.7536,1.221
Cistus Incanus,amber,0.6159,1.7868
Cistus Incanus,warm spicy,0.5797,1.6876
Cistus Incanus,aromatic,0.5507,1.3306
Cistus Incanus,fresh spicy,0.5,1.3955
Citron,citrus,0.8973,1.9741
Citron,woody,0.6782,1.0988
Citron,aromatic,0.6275,1.5159
Citron,fresh spicy,0.5594,1.5612
Citrus,citrus,0.8054,1.7719
Citrus,fresh,0.6005,2.3664
Citrus,woody,0.5734,0.9289
Citrus and Floral Notes,citrus,0.8431,1.8549
Citrus and Floral Notes,fresh,0.7843,3.0908
Citrus and Floral Notes,woody,0.5882,0.953
Citrus and Floral Notes,fresh spicy,0.5686,1.587
Citrus and Floral Notes,aromatic,0.5098,1.2317
Citruses,citrus,0.836,1.8392
Citruses,fresh,0.656,2.585
Citruses,woody,0.6236,1.0104
Citruses,fresh spicy,0.5143,1.4352
Civet,woody,0.6955,1.1268
Civet,musky,0.6774,2.1717
Civet,powdery,0.6511,1.366
Civet,animalic,0.6398,4.6275
Civet,amber,0.5526,1.6032
Civetta,musky,0.8163,2.6169
Civetta,powdery,0.7551,1.5842
Civetta,woody,0.7551,1.2234
Civetta,animalic,0.5306,3.8375
Civetta,amber,0.5102,1.4801
Clary Sage,aromatic,0.9366,2.263
Clary Sage,woody,0.7851,1.272
Clary Sage,fresh spicy,0.6155,1.7178
Clary Sage,citrus,0.549,1.2078
Clay,clay,0.7679,2355.8929
Clay,earthy,0.7679,5.318
Clay,woody,0.6429,1.0415
Clearwood,woody,0.9279,1.5034
Clearwood,aromatic,0.5586,1.3495
Clearwood,citrus,0.5405,1.1892
Clementine,citrus,0.8833,1.9432
Clementine,sweet,0.781,1.6995
Clementine,floral,0.6266,1.7744
Clementine,fruity,0.5889,1.7975
Clementine,woody,0.5063,0.8202
Clove,warm spicy,0.8537,2.4852
Clove,woody,0.7331,1.1877
Clove,aromatic,0.5048,1.2195
Clove Leaf,woody,0.918,1.4873
Clove Leaf,warm spicy,0.9016,2.6248
Clove Leaf,aromatic,0.5738,1.3862
Clover,floral,0.8598,2.435
Clover,green,0.7944,3.5222
Clover,sweet,0.7804,1.6982
Clover,woody,0.5421,0.8782
Cloves,warm spicy,0.8727,2.5407
Cloves,woody,0.7547,1.2227
Cloves,aromatic,0.5279,1.2755
Coca-Cola,coca-cola,0.9091,1332.6263
Coca-Cola,warm spicy,0.8687,2.5289
Coca-Cola,citrus,0.6566,1.4444
Coca-Cola,sweet,0.5657,1.231
Cocoa,warm spicy,0.8628,2.5119
Cocoa,sweet,0.7587,1.651
Cocoa,cacao,0.7188,46.5969
Cocoa,vanilla,0.5608,2.1405
Cocoa,woody,0.5399,0.8748
Coconut,sweet,0.8955,1.9488
Coconut,coconut,0.7017,28.3212
Coconut,vanilla,0.6289,2.4007
Coconut,powdery,0.5224,1.0959
Coconut Milk,sweet,0.9086,1.9772
Coconut Milk,coconut,0.819,33.0543
Coconut Milk,vanilla,0.6325,2.4142
Coconut Nectar,coconut,0.8529,34.4229
Coconut Nectar,sweet,0.8431,1.8348
Coconut Nectar,vanilla,0.6667,2.5448
Coconut Water,sweet,0.7184,1.5633
Coconut Water,woody,0.5347,0.8663
Coconut Water,fruity,0.5143,1.5698
Coffee,warm spicy,0.8688,2.5291
Coffee,coffee,0.6703,48.7241
Coffee,sweet,0.627,1.3644
Coffee,woody,0.6071,0.9836
Coffee blossom,sweet,0.7581,1.6497
Coffee blossom,floral,0.7419,2.1011
Coffee blossom,woody,0.5484,0.8885
Coffee blossom,vanilla,0.5161,1.9702
Coffee blossom,warm spicy,0.5161,1.5025
Cognac,woody,0.9397,1.5224
Cognac,warm spicy,0.8106,2.3598
Cognac,sweet,0.7563,1.6459
Cognac,amber,0.5862,1.7007
Concrete,mineral,0.6833,117.0807
Concrete,woody,0.5667,0.9181
Condensed Milk,sweet,0.9868,2.1475
Condensed Milk,lactonic,0.8289,15.5899
Condensed Milk,vanilla,0.6842,2.6118
Condensed Milk,powdery,0.5526,1.1594
Cookie,sweet,0.9811,2.1351
Cookie,vanilla,0.717,2.7369
Copahu Balm,amber,0.9038,2.622
Copahu Balm,woody,0.7115,1.1528
Copahu Balm,balsamic,0.6538,4.7496
Copahu Balm,aromatic,0.5096,1.2312
Copaiba balm,woody,0.8966,1.4525
Copaiba balm,balsamic,0.6828,4.9596
Copaiba balm,warm spicy,0.6207,1.8069
Copaiba balm,aromatic,0.5517,1.333
Copal,amber,0.8783,2.5478
Copal,warm spicy,0.6957,2.0251
Copal,woody,0.687,1.113
Copal,balsamic,0.5391,3.9163
Copal,aromatic,0.5391,1.3026
Coriander,aromatic,0.8627,2.0843
Coriander,woody,0.7607,1.2324
Coriander,fresh spicy,0.5828,1.6266
Coriander,citrus,0.5152,1.1335
Costus,woody,0.661,1.0709
Costus,fresh spicy,0.5819,1.6241
Costus,aromatic,0.5367,1.2967
Cotton Candy,sweet,0.9567,2.082
Cotton Candy,powdery,0.7776,1.6314
Cotton Candy,caramel,0.6194,20.3887
Cotton Candy,fruity,0.5821,1.7768
Cotton Candy,vanilla,0.5328,2.0339
Cotton Flower,powdery,0.9511,1.9953
Cotton Flower,floral,0.8226,2.3297
Cotton Flower,fresh,0.5138,2.0246
Coumarin,woody,0.7777,1.2599
Coumarin,aromatic,0.7151,1.7277
Coumarin,sweet,0.6402,1.3932
Coumarin,vanilla,0.5542,2.1155
Cranberry,fruity,0.9186,2.8039
Cranberry,sweet,0.6134,1.3348
Cranberry,woody,0.5552,0.8995
Cranberry,fresh spicy,0.532,1.4847
Cream,sweet,0.9653,2.1007
Cream,vanilla,0.8613,3.2876
Cream,lactonic,0.6647,12.5017
Cream,powdery,0.6358,1.334
Creamy notes,sweet,0.98,2.1326
Creamy notes,vanilla,0.62,2.3667
Creamy notes,lactonic,0.56,10.5318
Creamy notes,fruity,0.54,1.6483
Creme Brulee,sweet,1.0,2.1762
Creme Brulee,vanilla,0.6506,2.4835
Creme Brulee,lactonic,0.5422,10.1965
Creme Brulee,powdery,0.5301,1.1122
Creme Brulee,woody,0.5301,0.8589
Crystal Amber,woody,0.7176,1.1625
Crystal Amber,amber,0.5344,1.5501
Crystal Amber,citrus,0.5267,1.1588
Cucumber,ozonic,0.8115,18.533
Cucumber,aquatic,0.7916,11.771
Cucumber,green,0.765,3.3918
Cucumber,citrus,0.5277,1.161
Cucumber,aromatic,0.5122,1.2375
Cumin,fresh spicy,0.7893,2.2029
Cumin,woody,0.7877,1.2761
Cumin,warm spicy,0.6305,1.8354
Cumin,aromatic,0.5502,1.3294
Cupcake,sweet,0.9808,2.1343
Cupcake,fruity,0.6026,1.8393
Cupcake,powdery,0.5577,1.17
Cupcake,vanilla,0.5128,1.9575
Currant buds,woody,0.7909,1.2814
Currant buds,aromatic,0.7818,1.8889
Currant buds,fruity,0.6455,1.9702
Currant buds,green,0.6273,2.7812
Custard,sweet,0.9701,2.1111
Custard,lactonic,0.765,14.3864
Custard,vanilla,0.6624,2.5285
Custard,powdery,0.5427,1.1386
Cyclamen,floral,0.8042,2.2775
Cyclamen,woody,0.6452,1.0453
Cyclamen,fresh,0.6127,2.4143
Cyclamen,powdery,0.5813,1.2196
Cypress,woody,0.9342,1.5136
Cypress,aromatic,0.8856,2.1395
Cypress,fresh spicy,0.754,2.1043
Cypress,citrus,0.5004,1.1008
Cypriol,woody,0.9221,1.4938
Cypriol,warm spicy,0.6103,1.7766
Cypriol,amber,0.5904,1.7127
Cypriol,earthy,0.5539,3.8362
Cypriol Oil or Nagarmotha,woody,0.9507,1.5403
Cypriol Oil or Nagarmotha,warm spicy,0.6366,1.8532
Cypriol Oil or Nagarmotha,earthy,0.6124,4.2411
Cypriol Oil or Nagarmotha,amber,0.5681,1.648
Cypriol Oil or Nagarmotha,aromatic,0.5088,1.2292
Dahlia,floral,0.7612,2.1557
Dahlia,sweet,0.6866,1.4941
Dahlia,fruity,0.597,1.8223
Dahlia,fresh spicy,0.5373,1.4996
Dahlia,powdery,0.5075,1.0646
Daisy,floral,0.8761,2.4811
Daisy,sweet,0.7965,1.7332
Damask Rose,rose,0.7232,3.7247
Damask Rose,woody,0.6417,1.0397
Damask Rose,floral,0.5675,1.6072
Dark Chocolate,sweet,0.8876,1.9317
Dark Chocolate,warm spicy,0.8539,2.4859
Dark Chocolate,chocolate,0.7037,59.7379
Dark Chocolate,woody,0.5506,0.892
Dates,sweet,0.955,2.0782
Dates,fruity,0.68,2.0756
Dates,warm spicy,0.655,1.9068
Dates,woody,0.58,0.9397
Dates,amber,0.5675,1.6463
Datura,white floral,0.8898,2.972
Datura,sweet,0.7165,1.5593
Datura,fruity,0.622,1.8987
Datura,woody,0.5827,0.944
Datura,floral,0.5276,1.494
Davana,woody,0.6989,1.1323
Davana,aromatic,0.6242,1.508
Davana,sweet,0.6044,1.3153
Davana,warm spicy,0.5297,1.5419
Davana,amber,0.5242,1.5206
Dew Drop,aquatic,0.7574,11.2632
Dew Drop,floral,0.6238,1.7665
Dried Fallen Leaves,woody,0.9615,1.5578
Dried Fallen Leaves,aromatic,0.8462,2.0443
Dried Fallen Leaves,earthy,0.6731,4.6616
Dried Fruits,sweet,0.8304,1.8071
Dried Fruits,woody,0.7774,1.2595
Dried Fruits,fruity,0.758,2.3136
Dried Fruits,warm spicy,0.6095,1.7745
Dried Plum,sweet,0.8416,1.8314
Dried Plum,fruity,0.8218,2.5084
Dried Plum,woody,0.6931,1.1229
Dried Plum,amber,0.5347,1.551
Dried Plum,warm spicy,0.505,1.47
Driftwood,woody,0.8582,1.3903
Driftwood,marine,0.5332,16.2614
Driftwood,citrus,0.5278,1.1612
Driftwood,aromatic,0.5224,1.2622
Dry Wood,woody,0.9012,1.4601
Dry Wood,citrus,0.5133,1.1291
Earl Grey Tea,citrus,0.6543,1.4395
Earl Grey Tea,green,0.6296,2.7917
Earl Grey Tea,aromatic,0.6296,1.5212
Earl Grey Tea,fresh spicy,0.5432,1.5161
Earthy Notes,earthy,0.8809,6.1006
Earthy Notes,woody,0.6979,1.1306
Ebony,woody,0.9465,1.5335
Ebony,warm spicy,0.6417,1.8681
Ebony Wood,woody,0.9573,1.5509
Ebony Wood,warm spicy,0.7009,2.0403
Egyptian Jasmine,white floral,0.7134,2.3831
Egyptian Jasmine,woody,0.6411,1.0386
Egyptian Musk,musky,0.8545,2.7395
Egyptian Musk,powdery,0.7455,1.5639
Egyptian Musk,woody,0.5455,0.8837
Egyptian Musk,sweet,0.5091,1.1079
Elemi resin,aromatic,0.896,2.1647
Elemi resin,woody,0.773,1.2524
Elemi resin,fresh spicy,0.6738,1.8804
Elemi resin,balsamic,0.5319,3.8639
Elemi resin,citrus,0.5154,1.1338
Espresso,sweet,0.8364,1.8201
Espresso,warm spicy,0.7091,2.0643
Espresso,vanilla,0.6545,2.4985
Espresso,woody,0.5091,0.8248
Eucalyptus,woody,0.9328,1.5113
Eucalyptus,aromatic,0.857,2.0705
Eucalyptus,fresh spicy,0.5634,1.5724
Eucalyptus,citrus,0.5439,1.1965
Evernyl,amber,0.6207,1.8006
Evernyl,citrus,0.6034,1.3276
Evernyl,woody,0.5517,0.8939
Exotic Fruits,fruity,0.9227,2.8164
Exotic Fruits,sweet,0.9034,1.9659
Exotic Woods,woody,0.8645,1.4006
Exotic floral notes,floral,0.9079,2.5711
Exotic floral notes,sweet,0.5263,1.1453
Fennel,aromatic,0.6971,1.6841
Fennel,soft spicy,0.6088,5.8797
Fennel,woody,0.6059,0.9816
Fennel,fresh spicy,0.5794,1.6171
Fennel,fresh,0.5059,1.9936
Fenugreek,fresh spicy,0.7812,2.1804
Fenugreek,woody,0.6979,1.1307
Fenugreek,warm spicy,0.5729,1.6678
Fenugreek,amber,0.5417,1.5714
Fenugreek,aromatic,0.5312,1.2835
Fern,aromatic,0.9342,2.2571
Fern,fresh spicy,0.8224,2.2952
Fern,woody,0.7796,1.2631
Fern,earthy,0.5789,4.0097
Fig,woody,0.8481,1.374
Fig,sweet,0.816,1.7758
Fig,fruity,0.795,2.4267
Fig Leaf,green,0.9131,4.0486
Fig Leaf,woody,0.8524,1.381
Fig Leaf,fresh,0.7476,2.9461
Fig Leaf,sweet,0.5614,1.2217
Fig Leaf,aromatic,0.5131,1.2397
Fig Nectar,woody,0.8642,1.4001
Fig Nectar,sweet,0.7901,1.7194
Fig Nectar,fruity,0.7778,2.3741
Fig Tree,woody,0.9542,1.546
Fig Tree,green,0.6601,2.9269
Fig Tree,sweet,0.5882,1.2801
Fig Tree,fruity,0.5621,1.7157
Fir,woody,0.9406,1.524
Fir,aromatic,0.8824,2.132
Fir,fresh spicy,0.7991,2.2302
Fir Resin,woody,0.9764,1.5819
Fir Resin,aromatic,0.7453,1.8006
Fir Resin,fresh spicy,0.7123,1.9879
Fir Resin,amber,0.7028,2.0389
Fir Resin,warm spicy,0.6321,1.8401
Fire,warm spicy,0.7013,2.0416
Fire,woody,0.6753,1.0941
Fire,smoky,0.6104,10.872
Fire,sweet,0.5195,1.1305
Floral Fruity Notes,sweet,0.9259,2.015
Floral Fruity Notes,fruity,0.9136,2.7886
Floral Notes,floral,0.8864,2.5102
Floral Notes,woody,0.5261,0.8524
Floral bouquet,floral,0.8387,2.3752
Floral bouquet,sweet,0.5161,1.1232
Floral bouquet,powdery,0.5,1.049
Flower Petals,floral,0.8846,2.5052
Flower Petals,powdery,0.6154,1.2911
Flowers,floral,0.8486,2.4033
Forest Fruits,fruity,0.9677,2.9539
Forest Fruits,woody,0.9677,1.5679
Forest Fruits,sweet,0.6935,1.5093
Forest Fruits,powdery,0.629,1.3197
Frangipani,floral,0.8971,2.5404
Frangipani,tropical,0.6238,12.6387
Frangipani,sweet,0.582,1.2666
Frangipani,citrus,0.5766,1.2686
Frankincense,amber,0.8312,2.4112
Frankincense,woody,0.7717,1.2502
Frankincense,fresh spicy,0.6585,1.8378
Frankincense,warm spicy,0.6455,1.8792
Frankincense,aromatic,0.5821,1.4065
Freesia,floral,0.8886,2.5165
Freesia,powdery,0.5932,1.2445
Freesia,woody,0.581,0.9413
Freesia,fruity,0.549,1.6758
Freesia,citrus,0.546,1.2012
French Rose,rose,0.8475,4.3645
French Rose,floral,0.6441,1.824
French Rose,woody,0.5932,0.9611
French Rose,powdery,0.5593,1.1734
French Rose,citrus,0.5424,1.1932
French labdanum,woody,0.8735,1.4151
French labdanum,amber,0.8054,2.3363
French labdanum,aromatic,0.6156,1.4872
French labdanum,warm spicy,0.5742,1.6716
French orange flower,white floral,0.7879,2.6317
French orange flower,citrus,0.7576,1.6666
French orange flower,sweet,0.5758,1.2529
French orange flower,woody,0.5606,0.9083
French orange flower,aromatic,0.5303,1.2812
Fresh note,fresh,0.8725,3.4385
Fresh note,woody,0.5294,0.8577
Fruits,fruity,0.857,2.6158
Fruits,sweet,0.8153,1.7741
Fruity Notes,fruity,0.8263,2.5223
Fruity Notes,sweet,0.8053,1.7525
Fruity Notes,woody,0.5565,0.9017
Gaiac Wood,woody,0.9068,1.4692
Gaiac Wood,aromatic,0.528,1.2755
Gaiac Wood,amber,0.5155,1.4955
Gaiac Wood,warm spicy,0.5031,1.4646
Galbanum,aromatic,0.8153,1.9698
Galbanum,green,0.8057,3.5723
Galbanum,woody,0.7625,1.2353
Galbanum,citrus,0.5042,1.1093
Gardenia,white floral,0.8684,2.9006
Gardenia,woody,0.5614,0.9096
Gardenia,sweet,0.535,1.1642
Gardenia,powdery,0.515,1.0804
Gasoline,woody,0.717,1.1616
Gasoline,leather,0.5094,6.2179
Gentiana,aromatic,0.7451,1.8002
Gentiana,floral,0.6667,1.888
Gentiana,fresh spicy,0.6471,1.8059
Gentiana,woody,0.6471,1.0483
Gentiana,sweet,0.6078,1.3228
Georgywood,woody,0.7101,1.1505
Georgywood,sweet,0.6377,1.3877
Georgywood,fruity,0.5072,1.5483
Geranium,aromatic,0.8546,2.0647
Geranium,fresh spicy,0.8336,2.3264
Geranium,woody,0.7583,1.2285
Geranium,citrus,0.5435,1.1957
Geranium,warm spicy,0.5207,1.5159
Gin,woody,0.9431,1.528
Gin,aromatic,0.9194,2.2214
Gin,citrus,0.6209,1.3659
Gin,fresh spicy,0.5687,1.5873
Ginger,fresh spicy,0.8285,2.3124
Ginger,woody,0.6867,1.1126
Ginger,citrus,0.6644,1.4616
Ginger,aromatic,0.5857,1.415
Ginger flower,fresh spicy,0.7925,2.2117
Ginger flower,citrus,0.761,1.6742
Ginger flower,woody,0.5912,0.9578
Ginger flower,fresh,0.5472,2.1563
Gingerbread,sweet,0.8966,1.951
Gingerbread,warm spicy,0.7931,2.3088
Gingerbread,cinnamon,0.7241,22.4314
Gingerbread,vanilla,0.5747,2.1938
Ginseng,green,0.82,3.6358
Ginseng,woody,0.64,1.0369
Ginseng,herbal,0.56,8.5838
Ginseng,aromatic,0.56,1.353
Gooseberry,sweet,0.8451,1.839
Gooseberry,fruity,0.8169,2.4935
Gourmand Accord,sweet,0.9372,2.0395
Gourmand Accord,powdery,0.6054,1.2701
Gourmand Accord,woody,0.5874,0.9517
Gourmand Accord,vanilla,0.5426,2.0712
Gourmand Accord,fruity,0.5202,1.5878
Granny Smith apple,fruity,0.8375,2.5565
Granny Smith apple,fresh,0.6715,2.6462
Granny Smith apple,woody,0.6137,0.9943
Granny Smith apple,citrus,0.5523,1.2151
Grapefruit,citrus,0.8586,1.8889
Grapefruit,woody,0.7151,1.1586
Grapefruit,aromatic,0.6788,1.6399
Grapefruit,fresh spicy,0.6396,1.7851
Grapefruit blossom,white floral,0.7791,2.6023
Grapefruit blossom,citrus,0.7674,1.6883
Grapefruit blossom,woody,0.6279,1.0173
Grapes,fruity,0.8722,2.6623
Grapes,sweet,0.8296,1.8053
Grapes,woody,0.5448,0.8827
Grass,green,0.8821,3.911
Grass,fresh,0.7453,2.937
Grass,woody,0.5908,0.9572
Grass,aromatic,0.5259,1.2707
Grasse Rose,rose,0.7812,4.0235
Grasse Rose,floral,0.6812,1.9293
Grasse Rose,powdery,0.575,1.2063
Grasse Rose,woody,0.5625,0.9113
Green Accord,green,0.85,3.7688
Green Accord,woody,0.5706,0.9244
Green Apple,fruity,0.7811,2.3841
Green Apple,woody,0.6315,1.0231
Green Apple,fresh,0.611,2.4077
Green Apple,citrus,0.5893,1.2964
Green Bell Pepper,aromatic,0.879,2.1238
Green Bell Pepper,green,0.8468,3.7545
Green Bell Pepper,fresh spicy,0.7097,1.9807
Green Bell Pepper,woody,0.6613,1.0714
Green Grass,green,0.8498,3.7678
Green Grass,fresh,0.7418,2.9232
Green Grass,woody,0.6197,1.004
Green Grass,aromatic,0.5023,1.2137
Green Leaves,green,0.8568,3.7988
Green Leaves,woody,0.6775,1.0976
Green Mandarin,citrus,0.8288,1.8233
Green Mandarin,woody,0.6624,1.0732
Green Mandarin,aromatic,0.5424,1.3105
Green Notes,green,0.8154,3.6154
Green Notes,woody,0.6297,1.0202
Green Tea,green,0.8322,3.6899
Green Tea,citrus,0.6727,1.4799
Green Tea,fresh,0.6077,2.3949
Green Tea,woody,0.6024,0.976
Green Tea,fresh spicy,0.5556,1.5505
Guaiac Wood,woody,0.9274,1.5026
Guaiac Wood,aromatic,0.5837,1.4103
Guaiac Wood,warm spicy,0.5528,1.6094
Guaiac Wood,fresh spicy,0.5067,1.414
Guaiac Wood,amber,0.5054,1.4661
Guatemalan Cardamom,warm spicy,0.8608,2.506
Guatemalan Cardamom,aromatic,0.8557,2.0673
Guatemalan Cardamom,woody,0.8041,1.3028
Guatemalan Cardamom,fresh spicy,0.5464,1.5249
Guatemalan Cardamom,citrus,0.5464,1.202
Guava,fruity,0.8835,2.6967
Guava,tropical,0.6886,13.9499
Guava,fresh,0.6695,2.6383
Guava,sweet,0.661,1.4385
Gurjan balsam,woody,0.9506,1.5401
Gurjan balsam,warm spicy,0.6565,1.9111
Gurjan balsam,amber,0.5859,1.6996
Gurjan balsam,aromatic,0.5271,1.2734
Gurjan balsam,fresh spicy,0.5247,1.4644
Haitian Vetiver,woody,0.883,1.4306
Haitian Vetiver,aromatic,0.8163,1.9722
Haitian Vetiver,citrus,0.5437,1.196
Haitian Vetiver,fresh spicy,0.5354,1.4943
Hawthorn,floral,0.8846,2.5052
Hawthorn,sweet,0.6813,1.4827
Hawthorn,powdery,0.6484,1.3602
Hawthorn,woody,0.522,0.8457
Hay,green,0.7915,3.5094
Hay,fresh spicy,0.668,1.8642
Hay,woody,0.6371,1.0321
Hay,aromatic,0.5328,1.2873
Hazelnut,woody,0.8723,1.4132
Hazelnut,sweet,0.7767,1.6903
Hazelnut,nutty,0.7248,26.4231
Hazelnut,warm spicy,0.5213,1.5175
Hedione,floral,0.7002,1.9828
Hedione,woody,0.6842,1.1085
Hedione,fresh,0.5694,2.2438
Hedione,citrus,0.5295,1.1649
Hedione,amber,0.5024,1.4574
Heliotrope,powdery,0.8935,1.8746
Heliotrope,vanilla,0.6938,2.6483
Heliotrope,woody,0.5864,0.95
Heliotrope,sweet,0.5651,1.2297
Heliotrope,floral,0.551,1.5603
Helvetolide,woody,0.7385,1.1964
Helvetolide,musky,0.6615,2.1207
Helvetolide,amber,0.5385,1.5621
Helvetolide,citrus,0.5385,1.1846
Hemlock,floral,0.8462,2.3963
Hemlock,aromatic,0.8077,1.9514
Hemlock,woody,0.7885,1.2774
Hemlock,fresh spicy,0.6923,1.9322
Hemlock,sweet,0.5385,1.1718
Herbal Notes,green,0.8626,3.8246
Herbal Notes,woody,0.6148,0.9961
Herbal Notes,aromatic,0.5135,1.2407
Hiacynth,floral,0.8834,2.5019
Hiacynth,green,0.7791,3.4546
Hiacynth,woody,0.7301,1.1828
Hiacynth,white floral,0.6074,2.0287
Hiacynth,powdery,0.5276,1.1069
Hibiscus,floral,0.8733,2.4731
Hibiscus,sweet,0.5479,1.1924
Hibiscus,fruity,0.5445,1.6621
Hibiscus,fresh spicy,0.512,1.4289
Hibiscus,musky,0.5086,1.6303
Himalayan Cedar,woody,0.9407,1.524
Himalayan Cedar,aromatic,0.6271,1.5151
Himalayan Cedar,amber,0.5,1.4505
Hinoki,woody,0.9123,1.478
Hinoki,aromatic,0.8655,2.0911
Hinoki,fresh spicy,0.7544,2.1054
Hinoki Wood,woody,0.9561,1.549
Hinoki Wood,aromatic,0.8634,2.086
Hinoki Wood,fresh spicy,0.7756,2.1647
Honey,sweet,0.8415,1.8312
Honey,honey,0.7006,26.6582
Honey,woody,0.5257,0.8516
Honeysuckle,white floral,0.871,2.9093
Honeysuckle,fruity,0.6865,2.0955
Honeysuckle,floral,0.5281,1.4955
Honeysuckle,citrus,0.5274,1.1603
Hortensia,floral,0.9815,2.7795
Hortensia,fresh,0.7407,2.9191
Hortensia,powdery,0.5185,1.0878
Hyacinth,floral,0.8699,2.4634
Hyacinth,green,0.7273,3.2249
Hyacinth,fresh spicy,0.5879,1.6408
Hyacinth,woody,0.5848,0.9475
Hyacinth,powdery,0.5275,1.1067
Hyrax,musky,0.8321,2.6676
Hyrax,amber,0.8175,2.3716
Hyrax,woody,0.6861,1.1116
Hyssop,aromatic,0.8514,2.0569
Hyssop,woody,0.7027,1.1385
Hyssop,sweet,0.5811,1.2645
Hyssop,fresh spicy,0.5676,1.584
Ice,fresh,0.9244,3.643
Ice,aquatic,0.6222,9.2527
Ice,woody,0.5111,0.8281
Ice cream,sweet,0.9745,2.1206
Ice cream,vanilla,0.8936,3.4111
Ice cream,fresh,0.617,2.4316
Ice cream,powdery,0.5702,1.1963
Ice cream,fruity,0.5191,1.5846
Immortelle,sweet,0.7769,1.6907
Immortelle,warm spicy,0.7343,2.1377
Immortelle,woody,0.6491,1.0516
Immortelle,herbal,0.5471,8.3858
Incense,amber,0.8378,2.4305
Incense,woody,0.7477,1.2113
Incense,warm spicy,0.6974,2.0303
Incense,balsamic,0.5546,4.0287
Incense,smoky,0.5489,9.7769
Indian Jasmine,white floral,0.7162,2.3923
Indian Jasmine,woody,0.627,1.0159
Indian Jasmine,citrus,0.5838,1.2843
Indian Jasmine,powdery,0.5,1.049
Indian Oud,oud,0.8016,12.7451
Indian Oud,woody,0.7147,1.1579
Indian Oud,warm spicy,0.6196,1.8036
Indian Oud,amber,0.5353,1.553
Indian Patchouli,woody,0.8361,1.3545
Indian Patchouli,warm spicy,0.6393,1.8612
Indian Patchouli,amber,0.5492,1.5932
Indian Sandalwood,woody,0.5714,0.9258
Indian Sandalwood,amber,0.5065,1.4693
Indian Tuberose,white floral,0.8798,2.9387
Indian Tuberose,tuberose,0.7705,25.8588
Indian Tuberose,woody,0.5574,0.903
Indonesian Patchouli Leaf,woody,0.8561,1.387
Indonesian Patchouli Leaf,warm spicy,0.6357,1.8506
Ink,aromatic,0.932,2.2517
Ink,woody,0.9252,1.4989
Iris,powdery,0.8246,1.7299
Iris,woody,0.7108,1.1516
Iris,iris,0.5613,9.9389
Iris Butter,woody,0.7049,1.1421
Iris Butter,powdery,0.5574,1.1694
Iris Butter,aromatic,0.5082,1.2278
Iris Flower,powdery,0.8602,1.8047
Iris Flower,woody,0.6882,1.1149
Iris Flower,iris,0.6398,11.3283
Iso E Super,woody,0.9197,1.4901
Iso E Super,musky,0.796,2.5517
Iso E Super,amber,0.7575,2.1976
Iso E Super,powdery,0.5318,1.1156
Italian Iris,powdery,0.8909,1.8691
Italian Iris,woody,0.8545,1.3845
Italian Iris,iris,0.6909,12.2335
Italian Lemon,citrus,0.864,1.9008
Italian Lemon,aromatic,0.6757,1.6326
Italian Lemon,woody,0.6736,1.0914
Italian Mandarin,citrus,0.8083,1.7781
Italian Mandarin,woody,0.6431,1.0419
Italian Orange,citrus,0.8654,1.9038
Italian Orange,sweet,0.6346,1.381
Italian Orange,powdery,0.5577,1.17
Italian Orange,woody,0.5577,0.9035
Italian Tangerine,citrus,0.9107,2.0035
Italian Tangerine,sweet,0.6964,1.5155
Ivy,green,0.7542,3.3439
Ivy,woody,0.7208,1.1677
Ivy,fresh,0.6778,2.6711
Japanese Cherry Blossom,floral,0.9298,2.6332
Japanese Cherry Blossom,fruity,0.7719,2.3562
Japanese Cherry Blossom,fresh,0.7193,2.8346
Jasmine,white floral,0.6857,2.2904
Jasmine,woody,0.6422,1.0404
Jasmine,powdery,0.5402,1.1332
Jasmine,citrus,0.5284,1.1625
Jasmine Sambac,white floral,0.7185,2.3998
Jasmine Sambac,woody,0.632,1.0238
Jasmine Sambac,sweet,0.5631,1.2254
Jasmine Tea,floral,0.8548,2.4209
Jasmine Tea,fresh,0.7661,3.0192
Jasmine Tea,green,0.6129,2.7175
Jasmine Tea,woody,0.5645,0.9146
Jasmine Tea,citrus,0.5484,1.2064
Java vetiver oil,woody,0.9241,1.4971
Java vetiver oil,aromatic,0.8671,2.0949
Java vetiver oil,earthy,0.557,3.8574
Java vetiver oil,fresh spicy,0.5253,1.4661
Juniper,aromatic,0.9242,2.233
Juniper,woody,0.9117,1.4771
Juniper,fresh spicy,0.8469,2.3637
Juniper,citrus,0.5219,1.1483
Juniper Berries,aromatic,0.9476,2.2894
