note,accord,p,lift
Apricot Blossom,floral,0.9259,2.6222
Apricot Blossom,fruity,0.8519,2.6002
Apricot Blossom,sweet,0.7778,1.6926
Apricot Blossom,powdery,0.6543,1.3727
Apricot Blossom,woody,0.5432,0.8801
Aquatic notes,aromatic,0.8388,2.0265
Aquatic notes,marine,0.7735,23.5885
Aquatic notes,woody,0.5633,0.9126
Aquatic notes,citrus,0.549,1.2077
Aromatic Notes,woody,0.7043,1.1411
Aromatic Spices,warm spicy,0.8333,2.426
Aromatic Spices,woody,0.7843,1.2707
Aromatic Spices,amber,0.5392,1.5642
Aromatic Spices,powdery,0.5294,1.1107
Artemisia,aromatic,0.8482,2.0493
Artemisia,woody,0.7817,1.2664
Artemisia,fresh spicy,0.7123,1.9881
Artemisia,herbal,0.593,9.0889
Ash,smoky,0.8889,15.8325
Ash,woody,0.8889,1.4401
Ash,amber,0.5051,1.4651
Assam Oud,oud,0.7963,12.6603
Assam Oud,fresh spicy,0.5185,1.4471
Assam Oud,woody,0.5185,0.8401
Atlas Cedar,woody,0.9138,1.4804
Atlas Cedar,aromatic,0.6888,1.664
Atlas Cedar,fresh spicy,0.555,1.549
Atlas Cedar,amber,0.5038,1.4614
Australian Sandalwood,woody,0.8902,1.4422
Australian Sandalwood,powdery,0.6686,1.4027
Australian Sandalwood,warm spicy,0.5588,1.6266
Australian Sandalwood,aromatic,0.5202,1.2569
Baie Rose,woody,0.6818,1.1046
Baie Rose,citrus,0.5303,1.1667
Baie Rose,sweet,0.5,1.0881
Balsam Fir,woody,0.9477,1.5354
Balsam Fir,aromatic,0.8583,2.0737
Balsam Fir,fresh spicy,0.8226,2.2957
Balsamic Notes,woody,0.7229,1.1712
Balsamic Notes,amber,0.5301,1.5379
Bamboo,woody,0.9385,1.5205
Bamboo,citrus,0.5777,1.2709
Bamboo Leaf,woody,0.9559,1.5486
Bamboo Leaf,citrus,0.5882,1.2941
Bamboo Leaf,aromatic,0.5147,1.2435
Banana,sweet,0.9511,2.0697
Banana,fruity,0.9021,2.7537
Banana,tropical,0.6514,13.1966
Banana Leaf,green,0.9474,4.2005
Banana Leaf,fresh,0.6667,2.6272
Banana Leaf,sweet,0.6316,1.3744
Banana Leaf,woody,0.5088,0.8243
Bark,woody,0.9254,1.4992
Bark,warm spicy,0.597,1.738
Bark,amber,0.5075,1.4721
Barley,woody,0.6515,1.0555
Barley,warm spicy,0.5455,1.5879
Barley,sweet,0.5455,1.187
Barley,aromatic,0.5152,1.2446
Basil,aromatic,0.9181,2.2182
Basil,fresh spicy,0.8974,2.5047
Basil,woody,0.7497,1.2147
Basil,green,0.6279,2.7842
Basil,citrus,0.6209,1.366
Bay Leaf,fresh spicy,0.854,2.3834
Bay Leaf,aromatic,0.8392,2.0276
Bay Leaf,woody,0.8038,1.3023
Bay Leaf,citrus,0.5354,1.1779
Beeswax,woody,0.6063,0.9823
Beeswax,beeswax,0.5264,198.9894
Beeswax,sweet,0.5173,1.1258
Bellflower,floral,0.8362,2.3681
Bellflower,woody,0.6638,1.0754
Bellflower,citrus,0.6379,1.4034
Bellflower,fresh,0.6207,2.446
Bellflower,fresh spicy,0.5517,1.5398
Bellflower,white floral,0.5431,1.8141
Benzoin,amber,0.8115,2.354
Benzoin,warm spicy,0.6777,1.9728
Benzoin,woody,0.6535,1.0587
Bergamot,citrus,0.7439,1.6366
Bergamot,woody,0.72,1.1666
Bergamot,aromatic,0.573,1.3843
Bergamot,fresh spicy,0.5318,1.4842
Bergamot,powdery,0.5123,1.0747
Berries,sweet,0.8065,1.755
Berries,fruity,0.7742,2.3631
Berries,woody,0.5242,0.8493
Big Strawberry,fruity,0.9435,2.8799
Big Strawberry,sweet,0.9379,2.0409
Big Strawberry,powdery,0.565,1.1853
Bigarade,citrus,0.697,1.5333
Bigarade,woody,0.6667,1.0801
Bigarade,fresh spicy,0.6364,1.776
Bigarade,aromatic,0.6061,1.4643
Birch,woody,0.8772,1.4212
Birch,leather,0.6949,8.4811
Birch,smoky,0.5346,9.5213
Birch Leaf,woody,0.8655,1.4023
Birch Leaf,aromatic,0.7143,1.7257
Birch Leaf,leather,0.6891,8.4106
Birch Leaf,citrus,0.5378,1.1832
Birch Leaf,smoky,0.5294,9.4296
Birch Leaf,fresh spicy,0.521,1.4541
Birch Tar,leather,0.8061,9.8384
Birch Tar,woody,0.7606,1.2323
Birch Tar,smoky,0.5485,9.7694
Birch Tar,amber,0.5394,1.5648
Biscuit,sweet,0.9603,2.0897
Biscuit,vanilla,0.6755,2.5785
Biscuit,powdery,0.5364,1.1254
Bitter Almond,sweet,0.7476,1.6269
Bitter Almond,almond,0.6709,25.7462
Bitter Almond,woody,0.5879,0.9524
Bitter Almond,vanilla,0.5511,2.1037
Bitter Almond,fruity,0.508,1.5506
Bitter Orange,citrus,0.8872,1.9519
Bitter Orange,woody,0.707,1.1455
Bitter Orange,aromatic,0.5473,1.3222
Bitter Orange,fresh spicy,0.5246,1.4641
Black Amber,amber,0.7589,2.2016
Black Amber,woody,0.683,1.1066
Black Cardamom,warm spicy,0.9245,2.6914
Black Cardamom,aromatic,0.8113,1.9602
Black Cardamom,amber,0.717,2.0799
Black Cardamom,woody,0.717,1.1616
Black Cherry,cherry,0.8577,62.7618
Black Cherry,sweet,0.6951,1.5127
Black Cherry,woody,0.5854,0.9484
Black Cherry,vanilla,0.5203,1.9862
Black Currant,fruity,0.8541,2.6072
Black Currant,woody,0.7489,1.2133
Black Currant,floral,0.523,1.4812
Black Currant,sweet,0.5117,1.1135
Black Currant,citrus,0.5094,1.1206
Black Currant Blossom,floral,0.7639,2.1633
Black Currant Blossom,fruity,0.6806,2.0773
Black Currant Blossom,woody,0.625,1.0126
Black Currant Blossom,aromatic,0.5,1.208
Black Elder,sweet,0.8036,1.7487
Black Elder,floral,0.7768,2.1998
Black Elder,woody,0.6518,1.056
Black Leather,woody,0.7397,1.1984
Black Leather,warm spicy,0.589,1.7148
Black Leather,amber,0.589,1.7088
Black Leather,aromatic,0.5342,1.2908
Black Musk,musky,0.7186,2.3036
Black Musk,woody,0.6633,1.0747
Black Musk,powdery,0.598,1.2546
