primary_descriptor,secondary_descriptor,count
Aromatic,Peppery,2
Aromatic,Phenolic,2
Aromatic,Terpenic,2
Balsamic,Anisic,2
Balsamic,Fresh,2
Balsamic,Leathery,2
Balsamic,Oily,2
Camphoraceous,Artemisia,2
Citrus,Clean,2
Citrus,Lemongrass,2
Citrus,Minty,2
Citrus,Neroli,2
Citrus,Ozonic,2
Citrus,Pine,2
Earthy,Camphoraceous,2
Earthy,Herbal,2
Earthy,Patchouli,2
Earthy,Vetiver,2
Floral,Apple,2
Floral,Bergamot,2
Floral,Carnation,2
Floral,Cherry Blossom,2
Floral,Coriander,2
Floral,Creamy,2
Floral,Cumin,2
Floral,Fatty,2
Floral,Honeysuckle,2
Floral,Leathery,2
Floral,Mimosa,2
Floral,Musk Like,2
Floral,Peony,2
Floral,Phenolic,2
Floral,Pine,2
Floral,Tropical Fruit,2
Floral,Watery,2
Food Like,Corn,2
Food Like,Peanut,2
Food Like,Phenolic,2
Food Like,Popcorn,2
Food Like,Smoky,2
Fruity,Aldehydic,2
Fruity,Aromatic,2
Fruity,Bergamot,2
Fruity,Blueberry,2
Fruity,Brandy,2
Fruity,Cocoa,2
Fruity,Dry,2
Fruity,Hay,2
Fruity,Milky,2
Fruity,Soft,2
Fruity,Tea,2
Fruity,Violet,2
Gourmand,Anisic,2
Gourmand,Butterscotch,2
Gourmand,Cherry,2
Gourmand,Ethereal,2
Gourmand,Fatty,2
Gourmand,Herbal,2
Gourmand,Popcorn,2
Gourmand,Strawberry,2
Green,Almond,2
Green,Banana,2
Green,Dry,2
Green,Grape,2
Green,Hay,2
Green,Mushroom,2
Green,Nasturtium,2
Green,Onion,2
Green,Pea,2
Green,Phenolic,2
Green,Pine,2
Green,Plastic,2
Green,Pungent,2
Green,Rhubarb,2
Green,Sharp,2
Green,Tropical Fruit,2
Green,Waxy,2
Herbal,Artemisia,2
Herbal,Basil,2
Herbal,Galbanum,2
Herbal,Leathery,2
Herbal,Lemongrass,2
Herbal,Lime,2
Herbal,Peach,2
Herbal,Powdery,2
Herbal,Pungent,2
Herbal,Rosemary,2
Herbal,Sharp,2
Herbal,Terpenic,2
Herbal,Vegetable,2
Herbal,Violet,2
Marine,Floral,2
Marine,Green,2
Marine,Ozonic,2
Minty,Dry,2
Minty,Earthy,2
Minty,Floral,2
Minty,Fruity,2
Minty,Menthol,2
Musk Like,Berry,2
Musk Like,Earthy,2
Ozonic,Aldehydic,2
Ozonic,Citrus,2
Ozonic,Clean,2
Ozonic,Herbal,2
Ozonic,Marine,2
Powdery,Almond,2
Powdery,Anisic,2
Powdery,Creamy,2
Powdery,Warm,2
Smoky,Earthy,2
Smoky,Woody,2
Spicy,Almond,2
Spicy,Leathery,2
Spicy,Powdery,2
Spicy,Vanilla,2
Sulfurous,Acidic,2
Sulfurous,Food Like,2
Sulfurous,Grapefruit,2
Sulfurous,Roasted,2
Sulfurous,Savoury,2
Woody,Apple,2
Woody,Carrot,2
Woody,Incense,2
Woody,Minty,2
Woody,Musk Like,2
Woody,Rooty,2
Acidic,Aldehydic,1
Acidic,Burnt,1
Acidic,Creamy,1
