surface_form,normalized_form,feature_type,feature_name,mapping_type,evidence_level
Amburana Bark,amburana bark,NOTE,Amburana Bark,LEVEL_A_DIRECT,A
Amburana Wood,amburana wood,NOTE,Amburana Wood,LEVEL_A_DIRECT,A
American Apple,american apple,NOTE,American Apple,LEVEL_A_DIRECT,A
Amethyst Flower,amethyst flower,NOTE,Amethyst Flower,LEVEL_A_DIRECT,A
Ammonia,ammonia,NOTE,Ammonia,LEVEL_A_DIRECT,A
Ammophila,ammophila,NOTE,Ammophila,LEVEL_A_DIRECT,A
Ammophila (beach grass),ammophila (beach grass),NOTE,Ammophila (beach grass),LEVEL_A_DIRECT,A
Amyl Salicylate,amyl salicylate,NOTE,Amyl Salicylate,LEVEL_A_DIRECT,A
Amyris,amyris,NOTE,Amyris,LEVEL_A_DIRECT,A
Andiroba,andiroba,NOTE,Andiroba,LEVEL_A_DIRECT,A
Anemona,anemona,NOTE,Anemona,LEVEL_A_DIRECT,A
Angel's Trumpet,angel's trumpet,NOTE,Angel's Trumpet,LEVEL_A_DIRECT,A
Angelica,angelica,NOTE,Angelica,LEVEL_A_DIRECT,A
Angelica Root,angelica root,NOTE,Angelica Root,LEVEL_A_DIRECT,A
Angels Trumpet,angels trumpet,NOTE,Angels Trumpet,LEVEL_A_DIRECT,A
Animal notes,animal notes,NOTE,Animal notes,LEVEL_A_DIRECT,A
animalic,animalic,ACCORD,animalic,LEVEL_A_DIRECT,A
anis,anis,ACCORD,anis,LEVEL_A_DIRECT,A
Anise,anise,NOTE,Anise,LEVEL_A_DIRECT,A
Anthamber™,anthambertm,NOTE,Anthamber™,LEVEL_A_DIRECT,A
Antillone™,antillonetm,NOTE,Antillone™,LEVEL_A_DIRECT,A
Aperol,aperol,NOTE,Aperol,LEVEL_A_DIRECT,A
Apple,apple,NOTE,Apple,LEVEL_A_DIRECT,A
Apple Blossom,apple blossom,NOTE,Apple Blossom,LEVEL_A_DIRECT,A
Apple juice,apple juice,NOTE,Apple juice,LEVEL_A_DIRECT,A
Apple Leaf,apple leaf,NOTE,Apple Leaf,LEVEL_A_DIRECT,A
Apple Licor,apple licor,NOTE,Apple Licor,LEVEL_A_DIRECT,A
Apple Mint,apple mint,NOTE,Apple Mint,LEVEL_A_DIRECT,A
Apple Pie,apple pie,NOTE,Apple Pie,LEVEL_A_DIRECT,A
Apple pulp,apple pulp,NOTE,Apple pulp,LEVEL_A_DIRECT,A
Apple sherbet,apple sherbet,NOTE,Apple sherbet,LEVEL_A_DIRECT,A
Apple Shisha Accord,apple shisha accord,NOTE,Apple Shisha Accord,LEVEL_A_DIRECT,A
Apple Tree,apple tree,NOTE,Apple Tree,LEVEL_A_DIRECT,A
Apple Tree Blossom,apple tree blossom,NOTE,Apple Tree Blossom,LEVEL_A_DIRECT,A
Applejack,applejack,NOTE,Applejack,LEVEL_A_DIRECT,A
Apricot,apricot,NOTE,Apricot,LEVEL_A_DIRECT,A
Apricot Blossom,apricot blossom,NOTE,Apricot Blossom,LEVEL_A_DIRECT,A
Apricot Jam,apricot jam,NOTE,Apricot Jam,LEVEL_A_DIRECT,A
Aquaflora™,aquafloratm,NOTE,Aquaflora™,LEVEL_A_DIRECT,A
Aqual,aqual,NOTE,Aqual,LEVEL_A_DIRECT,A
aquatic,aquatic,ACCORD,aquatic,LEVEL_A_DIRECT,A
Aquatic notes,aquatic notes,NOTE,Aquatic notes,LEVEL_A_DIRECT,A
Aquozone,aquozone,NOTE,Aquozone,LEVEL_A_DIRECT,A
Arabian Spices,arabian spices,NOTE,Arabian Spices,LEVEL_A_DIRECT,A
Araucaria,araucaria,NOTE,Araucaria,LEVEL_A_DIRECT,A
Arbutus,arbutus,NOTE,Arbutus,LEVEL_A_DIRECT,A
"Arbutus (Madrona, Bearberry tree)","arbutus (madrona, bearberry tree)",NOTE,"Arbutus (Madrona, Bearberry tree)",LEVEL_A_DIRECT,A
Arctic Bramble,arctic bramble,NOTE,Arctic Bramble,LEVEL_A_DIRECT,A
Argan,argan,NOTE,Argan,LEVEL_A_DIRECT,A
Argan Tree,argan tree,NOTE,Argan Tree,LEVEL_A_DIRECT,A
Argentinian Lemon,argentinian lemon,NOTE,Argentinian Lemon,LEVEL_A_DIRECT,A
Arnica,arnica,NOTE,Arnica,LEVEL_A_DIRECT,A
aromatic,aromatic,ACCORD,aromatic,LEVEL_A_DIRECT,A
Aromatic Notes,aromatic notes,NOTE,Aromatic Notes,LEVEL_A_DIRECT,A
Aromatic Spices,aromatic spices,NOTE,Aromatic Spices,LEVEL_A_DIRECT,A
Artemisia,artemisia,NOTE,Artemisia,LEVEL_A_DIRECT,A
Artichoke,artichoke,NOTE,Artichoke,LEVEL_A_DIRECT,A
Arum Lily,arum lily,NOTE,Arum Lily,LEVEL_A_DIRECT,A
Asafoetida,asafoetida,NOTE,Asafoetida,LEVEL_A_DIRECT,A
Ash,ash,NOTE,Ash,LEVEL_A_DIRECT,A
