accord,accord_frequency,eligible_perfume_count,mean_day_share,mean_night_share,corpus_day_share,corpus_night_share,day_difference_vs_corpus,night_difference_vs_corpus,day_lift,night_lift,day_bias_q25,day_bias_q75,daypart_tendency
woody,81432,29341,0.6010168197923936,0.39898318020760337,0.6200564192418216,0.3799435807581744,-0.019039599449428013,0.019039599449428957,0.9692937628599849,1.0501116492386464,-0.08849253375985738,0.052318727513083585,Neutral
powdery,62885,21977,0.6177944073675836,0.38220559263241316,0.6200564192418216,0.3799435807581744,-0.0022620118742380235,0.002262011874238745,0.9963519257215272,1.005953546760087,-0.08849253375985738,0.052318727513083585,Neutral
sweet,60625,22063,0.6162688621088175,0.38373113789117935,0.6200564192418216,0.3799435807581744,-0.00378755713300416,0.0037875571330049373,0.9938915927398423,1.009968735688196,-0.08849253375985738,0.052318727513083585,Neutral
citrus,59969,20521,0.6803737449465675,0.319626255053429,0.6200564192418216,0.3799435807581744,0.060317325704745905,-0.060317325704745406,1.0972771570988642,0.8412466251321244,-0.08849253375985738,0.052318727513083585,Day leaning
aromatic,54606,19216,0.6329746135516481,0.3670253864483555,0.6200564192418216,0.3799435807581744,0.012918194309826436,-0.012918194309818942,1.020833901414362,0.9659997037348524,-0.08849253375985738,0.052318727513083585,Neutral
fresh spicy,47271,16523,0.637023425748599,0.36297657425140006,0.6200564192418216,0.3799435807581744,0.016967006506777405,-0.01696700650677435,1.0273636494684208,0.9553433526290487,-0.08849253375985738,0.052318727513083585,Neutral
floral,46586,15740,0.6802252662364576,0.31977473376354076,0.6200564192418216,0.3799435807581744,0.06016884699463598,-0.06016884699463365,1.0970376970989315,0.8416374166012565,-0.08849253375985738,0.052318727513083585,Day leaning
amber,45478,15316,0.5349298696856146,0.4650701303143853,0.6200564192418216,0.3799435807581744,-0.08512654955620702,0.0851265495562109,0.8627116066949261,1.224050500830522,-0.08849253375985738,0.052318727513083585,Neutral
warm spicy,45319,16074,0.5202999957349229,0.4797000042650776,0.6200564192418216,0.3799435807581744,-0.09975642350689873,0.09975642350690317,0.8391171828704288,1.262555886081402,-0.08849253375985738,0.052318727513083585,Night leaning
fruity,43222,16047,0.6612919649613347,0.3387080350386684,0.6200564192418216,0.3799435807581744,0.041235545719513045,-0.041235545719505995,1.066502893026951,0.8914692922638124,-0.08849253375985738,0.052318727513083585,Neutral
musky,41154,13957,0.6491232541663587,0.35087674583364187,0.6200564192418216,0.3799435807581744,0.0290668349245371,-0.029066834924532547,1.046877725998029,0.923496970611979,-0.08849253375985738,0.052318727513083585,Neutral
