표현,accord,해당군 수,해당군 비율,전체 비율,배수,배수 CI하한,순환,신호
화려한,tuberose,33,0.07551487414187644,0.03923938441704939,1.9244663305437957,1.2931320336283818,False,True
화려한,rose,98,0.2242562929061785,0.16380630086213843,1.3690333749427355,1.1302983167043117,False,False
화려한,yellow floral,32,0.07322654462242563,0.05599871082104585,1.3076469716675172,0.8714743640227878,False,False
화려한,patchouli,56,0.12814645308924486,0.10305374264765128,1.243491500618153,0.9393843385593208,False,False
화려한,animalic,64,0.14645308924485126,0.11868503746676336,1.2339642163053963,0.9546568770990997,False,False
화려한,fruity,196,0.448512585812357,0.3645153492869229,1.230435389592653,1.1025106174084387,False,False
화려한,tropical,33,0.07551487414187644,0.06147772137619854,1.228329099573825,0.825367366155992,False,False
화려한,floral,175,0.40045766590389015,0.3336556280718717,1.2002125311599083,1.0625216652865772,False,False
화려한,vanilla,185,0.4233409610983982,0.3528321650149061,1.1998366449399909,1.0685405283563914,False,False
화려한,white floral,141,0.32265446224256294,0.27693175408911447,1.1651046060204973,1.0068280574848594,False,False
화려한,musky,160,0.36613272311212813,0.31931351220691323,1.1466245840385119,1.0051701729245743,False,False
화려한,lactonic,36,0.08237986270022883,0.0728386109096769,1.1309916769607744,0.7770793433844995,False,False
화려한,amber,179,0.4096109839816934,0.3727338651196519,1.0989368616940762,0.975236368389608,False,False
화려한,sweet,258,0.5903890160183066,0.5450809765530578,1.0831216670810353,0.9985335692205076,False,False
화려한,powdery,225,0.5148741418764302,0.5068890500362582,1.015753135404288,0.9233088231466243,False,False
화려한,leather,44,0.10068649885583524,0.09934735315445975,1.0134794300890277,0.7294912736988542,False,False
화려한,warm spicy,164,0.37528604118993136,0.3775682861977278,0.9939554112693637,0.8737174358891713,False,False
화려한,iris,31,0.07093821510297482,0.07356377407138828,0.9643090773746118,0.6371087137143246,False,False
화려한,woody,272,0.6224256292906178,0.6622351140117637,0.9398861765574715,0.8712507819080475,False,False
화려한,fresh,94,0.2151029748283753,0.24027072758037224,0.8952525219969705,0.7349117245457321,False,False
화려한,balsamic,60,0.13729977116704806,0.1545403271291596,0.8884397601429789,0.6796359645224768,False,False
화려한,soft spicy,39,0.08924485125858124,0.10289259527838208,0.8673593179093593,0.6075685977609878,False,False
화려한,citrus,157,0.35926773455377575,0.41447103376037386,0.8668102359150294,0.7582755450825823,False,False
화려한,aromatic,135,0.30892448512585813,0.4123761179598743,0.7491328223714391,0.6440792644140642,False,False
화려한,green,68,0.15560640732265446,0.21577632745145436,0.7211467965950203,0.5636405587151481,False,False
화려한,fresh spicy,103,0.23569794050343248,0.34533881234388847,0.6825121650928839,0.5672782358840378,False,False
화려한,earthy,41,0.09382151029748284,0.13802272177906696,0.6797540947472618,0.48168220281383395,False,False
인공적인,sour,59,0.00940388906598661,0.005720731609056482,1.6438262985628145,1.2263476210704594,False,True
인공적인,coconut,315,0.050207204335352244,0.03585528966239626,1.40027328765406,1.249568158309053,False,False
인공적인,cherry,176,0.028052279247688876,0.020546289581822575,1.3653209323257516,1.1664570384475592,False,False
인공적인,tropical,517,0.08240357029008608,0.06147772137619854,1.3403810103148863,1.2297020874897855,False,False
인공적인,salty,178,0.028371055148230795,0.022238336959149143,1.275772338567726,1.0910287081738348,False,False
인공적인,caramel,375,0.05977048135160982,0.047296752880509225,1.2637332948123159,1.139707275173834,False,False
인공적인,aquatic,505,0.08049091488683456,0.06429780033840947,1.2518455446873482,1.1471473621936359,False,False
인공적인,savory,72,0.011475932419509085,0.00926597373297881,1.2385025848567586,0.954069334484455,False,False
인공적인,lactonic,558,0.08893847625119541,0.0728386109096769,1.2210347663203387,1.1243315643280054,False,False
인공적인,mineral,48,0.007650621613006056,0.0062847474014986705,1.2173316005002328,0.8742664135613714,False,False
인공적인,marine,248,0.03952821166719796,0.03255176859237773,1.2143184034692915,1.0662013327874655,False,False
인공적인,fruity,2727,0.4346509403889066,0.3645153492869229,1.1924077854037842,1.1587568886290596,False,False
인공적인,ozonic,320,0.051004144086707046,0.04463782128756748,1.1426217188810852,1.0206621964699538,False,False
인공적인,nutty,343,0.05467006694293911,0.047860768672951415,1.1422730653683792,1.0247371341585856,False,False
인공적인,metallic,118,0.01880777813197322,0.01651760535009266,1.1386504116874128,0.9351419255768998,False,False
인공적인,fresh,1697,0.2704813516098183,0.24027072758037224,1.1257357662070606,1.079988008353858,False,False
인공적인,soapy,70,0.011157156518967166,0.009991136894690195,1.1167053996524314,0.8565641004682978,False,False
인공적인,musky,2199,0.35049410264583997,0.31931351220691323,1.0976488286493868,1.0606746594477554,False,False
인공적인,almond,280,0.04462862607586866,0.04068971074047216,1.0968037192625861,0.9712319300688532,False,False
인공적인,bitter,38,0.006056742110296462,0.005559584239787286,1.0894235700128896,0.7440875843603258,False,False
인공적인,sweet,3699,0.5895760280522793,0.5450809765530578,1.0816301676506783,1.0592991221303252,False,False
인공적인,vanilla,2386,0.3802996493465094,0.3528321650149061,1.0778485837039344,1.0438023184793364,False,False
인공적인,lavender,413,0.06582722346190628,0.06147772137619854,1.0707492403482552,0.9709373170944362,False,False
인공적인,chocolate,111,0.017692062480076508,0.016598179034727257,1.0659038225253863,0.8693703949800743,False,False
인공적인,whiskey,42,0.0066942939113803,0.006365321086133269,1.0516820472676063,0.734683441810678,False,False
인공적인,powdery,3306,0.5269365635957921,0.5068890500362582,1.039550101857793,1.0151770583822504,False,False
인공적인,citrus,2666,0.42492827542237804,0.41447103376037386,1.0252303317004536,0.9957176650470378,False,False
인공적인,soft spicy,652,0.1039209435766656,0.10289259527838208,1.0099943858496452,0.9366064966378694,False,False
인공적인,white floral,1718,0.27382849856550845,0.27693175408911447,0.9887941506245347,0.948949503885382,False,False
인공적인,oud,341,0.05435129104239719,0.05615985819031504,0.9677960877004184,0.8679047886530232,False,False
인공적인,floral,2021,0.32212304749760917,0.3336556280718717,0.9654356779746022,0.9307802159634947,False,False
인공적인,aldehydic,174,0.027733503347146957,0.028764805414551606,0.9641470869508149,0.8228876727328261,False,False
인공적인,amber,2253,0.35910105196047176,0.3727338651196519,0.9634248067188533,0.9315763729651367,False,False
인공적인,rose,987,0.15731590691743705,0.16380630086213843,0.9603776294895775,0.9053764594510335,False,False
인공적인,green,1283,0.20449474019764105,0.21577632745145436,0.9477162884962371,0.9014629999552477,False,False
인공적인,woody,3909,0.6230474976091808,0.6622351140117637,0.9408252211738098,0.9227170119914224,False,False
인공적인,fresh spicy,2031,0.3237169270003188,0.34533881234388847,0.9373893562764715,0.9038630748454105,False,False
인공적인,animalic,697,0.11109340133885878,0.11868503746676336,0.9360354406086737,0.8705175298905047,False,False
인공적인,coffee,119,0.01896716608224418,0.02038514221255338,0.9304407045325397,0.7648587275526608,False,False
인공적인,aromatic,2405,0.38332802040165764,0.4123761179598743,0.9295592147723668,0.9003847633168441,False,False
인공적인,violet,321,0.051163532036978,0.05575698976714205,0.9176164683684017,0.8198341255704831,False,False
인공적인,cacao,129,0.020561045584953776,0.022560631697687534,0.9113683455530762,0.7557202386576958,False,False
인공적인,conifer,65,0.010360216767612368,0.011441463218112964,0.9054975373439232,0.6865070554375786,False,False
인공적인,cinnamon,230,0.036659228562320685,0.04077028442510676,0.8991653867331265,0.7851084497310731,False,False
인공적인,honey,199,0.03171820210392094,0.03609701071630006,0.8786933176601848,0.7585588188820578,False,False
인공적인,warm spicy,2056,0.3277016257570928,0.3775682861977278,0.8679267770531964,0.8371651973534483,False,False
인공적인,leather,539,0.08591010519604718,0.09934735315445975,0.8647447814988983,0.7949466024502317,False,False
인공적인,tuberose,212,0.03379024545744342,0.03923938441704939,0.861130875507865,0.7471864689938992,False,False
인공적인,rum,103,0.01641695887790883,0.0193376843123036,0.8489619859738605,0.6863579880707402,False,False
인공적인,herbal,282,0.04494740197641058,0.05382322133591169,0.8350931226485505,0.7398398141059357,False,False
인공적인,yellow floral,292,0.04654128147912018,0.05599871082104585,0.8311134452336122,0.7380292601735272,False,False
인공적인,balsamic,803,0.1279885240675805,0.1545403271291596,0.8281885152256212,0.774696543962612,False,False
