accord,accord_frequency,eligible_perfume_count,mean_winter_share,corpus_winter_share,winter_lift,mean_spring_share,corpus_spring_share,spring_lift,mean_summer_share,corpus_summer_share,summer_lift,mean_autumn_share,corpus_autumn_share,autumn_lift,dominant_season_by_share,strongest_season_by_lift,second_season_by_lift,weakest_season_by_lift
white floral,39497,16700,0.1744990347231093,0.21015620864724194,0.830330142736896,0.3174141624159521,0.2857808718775258,1.1106907202382077,0.2749179173645839,0.23873846990843414,1.1515442713108868,0.23316888549635353,0.265324449566811,0.8788066304369722,spring,summer,spring,winter
vanilla,34562,16355,0.26701514159116074,0.21015620864724194,1.2705555705915854,0.2459143700984436,0.2857808718775258,0.8604997545246227,0.18569350189952147,0.23873846990843414,0.7778113932402366,0.30137698641088,0.265324449566811,1.1358809446431761,autumn,winter,autumn,summer
fresh,33478,14966,0.13611829365998704,0.21015620864724194,0.6477005582474541,0.340139846269124,0.2857808718775258,1.1902120811461947,0.323223107728945,0.23873846990843414,1.353879447467826,0.20051875234193792,0.265324449566811,0.7557492446298114,spring,summer,spring,winter
green,29755,13440,0.13783860059165134,0.21015620864724194,0.6558864069679738,0.33959152088395245,0.2857808718775258,1.1882933894522083,0.31112069974374923,0.23873846990843414,1.303186285239562,0.21144917878064626,0.265324449566811,0.7969456984679488,spring,summer,spring,winter
rose,25617,10486,0.2064051591715991,0.21015620864724194,0.9821511365294033,0.30455729652248986,0.2857808718775258,1.0657021742624218,0.23071088110949461,0.23873846990843414,0.9663749675449523,0.25832666319641767,0.265324449566811,0.9736255502204246,spring,spring,winter,summer
earthy,19049,8404,0.21773574227764228,0.21015620864724194,1.0360661894273273,0.2803879403662623,0.2857808718775258,0.9811291375947138,0.20994428070322294,0.23873846990843414,0.8793902414794945,0.2919320366528698,0.265324449566811,1.10028320846232,autumn,autumn,winter,summer
animalic,18242,7217,0.24522152410309814,0.21015620864724194,1.1668535784955807,0.2666635424701853,0.2857808718775258,0.933104937073838,0.19834613404657447,0.23873846990843414,0.8308092705907357,0.2897687993801357,0.265324449566811,1.0921300311872293,autumn,winter,autumn,summer
balsamic,18162,7967,0.2978898728322652,0.21015620864724194,1.4174688187884505,0.22087223061946368,0.2857808718775258,0.7728726879737445,0.14532630465825896,0.23873846990843414,0.6087259615678926,0.33591159189001496,0.265324449566811,1.2660408508844545,autumn,winter,autumn,summer
patchouli,14822,6369,0.2662176714497331,0.21015620864724194,1.2667609163838371,0.24719568822815108,0.2857808718775258,0.8649833230759028,0.1704520345964058,0.23873846990843414,0.7139697035914699,0.31613460572570584,0.265324449566811,1.1915019751924536,autumn,winter,autumn,summer
soft spicy,13661,6014,0.2120067505043652,0.21015620864724194,1.0088055540639749,0.28791968565299253,0.2857808718775258,1.0074841040319287,0.23162286812795863,0.23873846990843414,0.9701949929426764,0.26845069571468033,0.265324449566811,1.0117827292319779,spring,autumn,winter,summer
