accord,note,accord_frequency,note_frequency,cooccurrence_count,p_note_given_accord,lift,representative_rank
wine,Vanilla,236,35628,55,0.2330508474576271,0.8629841221815635,4
wine,Rose,236,27804,54,0.2288135593220339,1.0857205035734403,5
wine,Patchouli,236,32473,52,0.22033898305084745,0.8951843695962278,6
wine,White Wine,236,73,43,0.18220338983050846,329.2889482238217,7
wine,Sandalwood,236,34292,38,0.16101694915254236,0.619472941260204,8
wine,Leather,236,10626,32,0.13559322033898305,1.6834945943273136,9
wine,Cedar,236,22305,32,0.13559322033898305,0.8020091261744915,10
woody,Musk,81432,49244,31022,0.3809558895765792,1.020622015105152,1
woody,Sandalwood,81432,34292,29401,0.3610497101876412,1.3890495819740905,2
woody,Patchouli,81432,32473,26573,0.326321347873072,1.3257652642162532,3
woody,Bergamot,81432,36337,26164,0.32129875233323507,1.1665504690900104,4
woody,Amber,81432,36671,24304,0.2984576088024364,1.0737507111697373,5
woody,Jasmine,81432,33686,21633,0.2656572354848217,1.0404369494007162,6
woody,Vanilla,81432,35628,20970,0.25751547303271444,0.9535762983385543,7
woody,Cedar,81432,22305,19660,0.24142843108360348,1.4280050622219147,8
woody,Rose,81432,27804,17745,0.21791187739463602,1.033992014986129,9
woody,Vetiver,81432,17674,15494,0.190269181648492,1.4202904342472302,10
yellow floral,Ylang-Ylang,6986,7086,3899,0.5581162324649298,10.39123264875786,1
yellow floral,Jasmine,6986,33686,2908,0.41626109361580305,1.6302715098477971,2
yellow floral,Musk,6986,49244,2598,0.3718866304036645,0.9963244892607314,3
yellow floral,Sandalwood,6986,34292,2139,0.3061837961637561,1.177966529449561,4
yellow floral,Vanilla,6986,35628,2099,0.30045805897509303,1.112592110715842,5
yellow floral,Bergamot,6986,36337,2036,0.29144002290294874,1.0581413496322214,6
yellow floral,Rose,6986,27804,1775,0.2540795877469224,1.20560782662392,7
yellow floral,Amber,6986,36671,1756,0.25135986258230747,0.904308763613859,8
yellow floral,Patchouli,6986,32473,1462,0.20927569424563414,0.850236884236951,9
yellow floral,Mimosa,6986,2076,1225,0.17535070140280562,11.143553967279454,10
