표현,accord,해당군 수,해당군 비율,전체 비율,배수,배수 CI하한,순환,신호
포근한,savory,95,0.03447024673439768,0.00926597373297881,3.7200889758313873,2.9850160507568044,False,True
포근한,nutty,268,0.09724238026124818,0.047860768672951415,2.0317763997009277,1.800649673821985,False,True
포근한,cacao,125,0.045355587808417995,0.022560631697687534,2.0103864296081277,1.6660353679185889,False,True
포근한,lactonic,402,0.14586357039187228,0.0728386109096769,2.0025583762539014,1.821636179442701,False,True
포근한,almond,203,0.07365747460087083,0.04068971074047216,1.8102235985572432,1.5705467556754273,False,True
포근한,caramel,229,0.08309143686502177,0.047296752880509225,1.7568106012466527,1.5389261254484083,False,True
포근한,coffee,93,0.03374455732946299,0.02038514221255338,1.6553505969010482,1.3246381326089265,False,True
포근한,chocolate,74,0.026850507982583455,0.016598179034727257,1.6176779348147732,1.254079459537724,False,True
포근한,cinnamon,176,0.06386066763425254,0.04077028442510676,1.5663532529816369,1.3424503640398506,False,True
포근한,vanilla,1519,0.5511611030478955,0.3528321650149061,1.5621056062862368,1.5094756731009897,False,True
포근한,balsamic,646,0.23439767779390422,0.1545403271291596,1.5167411778415774,1.414399410879169,False,True
포근한,honey,146,0.05297532656023222,0.03609701071630006,1.467582093613933,1.235915883132161,False,False
포근한,iris,277,0.10050798258345428,0.07356377407138828,1.36627006773631,1.2136711696844453,False,False
포근한,powdery,1880,0.6821480406386067,0.5068890500362582,1.345754145980885,1.3114572102474336,False,False
포근한,coconut,130,0.04716981132075472,0.03585528966239626,1.315560737757049,1.0948095478754454,False,False
포근한,rum,66,0.023947750362844702,0.0193376843123036,1.2383980406386068,0.9432221426175565,False,False
포근한,soapy,34,0.012336719883889695,0.009991136894690195,1.2347663748302822,0.8222835585261511,False,False
포근한,sweet,1821,0.6607402031930334,0.5450809765530578,1.2121872375208778,1.17975798007059,False,False
포근한,warm spicy,1182,0.4288824383164006,0.3775682861977278,1.1359069445038088,1.086968197569883,False,False
포근한,amber,1160,0.420899854862119,0.3727338651196519,1.1292235405736617,1.0797715432800323,False,False
