note,perfume_count,occurrence_count,strict_match_status,strict_matched_term,strict_ifra_level,material_family_candidate,alias_candidate,final_auto_status
cannabis,508,530,UNMATCHED,,,,,UNMATCHED
Pine Tree,502,505,UNMATCHED,,,,,UNMATCHED
Myrtle,502,504,UNMATCHED,,,"Myrtle oil | Myrtle oil (low methyleugenol) | Myrtle oil terpeneless | Myrtle oil, rectified",,CANDIDATE_ONLY
Vanilla Orchid,496,496,UNMATCHED,,,,,UNMATCHED
Butter,492,496,UNMATCHED,,,,,UNMATCHED
Teak Wood,491,491,UNMATCHED,,,,,UNMATCHED
Aquatic notes,490,490,UNMATCHED,,,,,UNMATCHED
Tobacco Leaf,484,487,UNMATCHED,,,Tobacco leaf absolute,,CANDIDATE_ONLY
Rose de Mai,480,481,UNMATCHED,,,,,UNMATCHED
Italian Lemon,478,479,UNMATCHED,,,,,UNMATCHED
Myrhh,477,480,UNMATCHED,,,,,UNMATCHED
Apple Blossom,473,473,UNMATCHED,,,,,UNMATCHED
Guava,472,477,UNMATCHED,,,,,UNMATCHED
Earthy Notes,470,474,UNMATCHED,,,,,UNMATCHED
Vanilla Bean,469,470,UNMATCHED,,,,,UNMATCHED
Oriental notes,451,457,UNMATCHED,,,,,UNMATCHED
Cucumber,451,451,MATCH_SECONDARY_DESCRIPTOR,Cucumber,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
White Peach,447,448,UNMATCHED,,,,,UNMATCHED
Grapes,446,451,UNMATCHED,,,,,UNMATCHED
White Tea,443,445,UNMATCHED,,,,,UNMATCHED
Akigalawood,443,443,UNMATCHED,,,,,UNMATCHED
Taif Rose,441,445,UNMATCHED,,,,,UNMATCHED
Verbena,439,442,MATCH_SECONDARY_DESCRIPTOR,Verbena,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Cambodian Oud,438,445,UNMATCHED,,,,,UNMATCHED
Palo Santo,436,438,UNMATCHED,,,,,UNMATCHED
Mineral notes,433,435,UNMATCHED,,,,,UNMATCHED
Sandal,433,435,UNMATCHED,,,,,UNMATCHED
Rose Petals,428,430,UNMATCHED,,,,,UNMATCHED
Mahogany,428,429,UNMATCHED,,,,,UNMATCHED
Gurjan balsam,425,425,UNMATCHED,,,,,UNMATCHED
Carrot Seeds,424,424,UNMATCHED,,,,,UNMATCHED
Elemi resin,423,424,UNMATCHED,,,,,UNMATCHED
Siam Benzoin,421,421,UNMATCHED,,,,,UNMATCHED
Ivy,419,419,UNMATCHED,,,,,UNMATCHED
Balsamic Notes,415,415,UNMATCHED,,,,,UNMATCHED
Dry Wood,415,415,UNMATCHED,,,,,UNMATCHED
Sicilian Bergamot,412,412,UNMATCHED,,,,,UNMATCHED
French labdanum,411,411,UNMATCHED,,,,,UNMATCHED
Pimento,411,411,UNMATCHED,,,,,UNMATCHED
Champagne,410,410,UNMATCHED,,,,,UNMATCHED
Vetyver,409,410,UNMATCHED,,,,,UNMATCHED
Wild Berries,403,403,UNMATCHED,,,,,UNMATCHED
Metallic notes,402,406,UNMATCHED,,,,,UNMATCHED
Lemongrass,401,401,MATCH_SECONDARY_DESCRIPTOR,Lemongrass,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Dates,400,404,UNMATCHED,,,,,UNMATCHED
Cacao Pod,394,398,UNMATCHED,,,,,UNMATCHED
White Cedar Extract,382,382,UNMATCHED,,,,,UNMATCHED
Vanila,380,381,UNMATCHED,,,,,UNMATCHED
Moroccan Rose,379,380,UNMATCHED,,,,,UNMATCHED
Toffee,374,375,MATCH_SECONDARY_DESCRIPTOR,Toffee,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Kiwi,374,374,MATCH_SECONDARY_DESCRIPTOR,Kiwi,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Rice,371,376,MATCH_SECONDARY_DESCRIPTOR,Rice,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Indian Jasmine,370,371,UNMATCHED,,,,,UNMATCHED
Indian Oud,368,378,UNMATCHED,,,,,UNMATCHED
Tropical Fruits,364,365,UNMATCHED,,,,,UNMATCHED
Hawthorn,364,364,MATCH_SECONDARY_DESCRIPTOR,Hawthorn,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
White Chocolate,363,368,UNMATCHED,,,,,UNMATCHED
Big Strawberry,354,355,UNMATCHED,,,,,UNMATCHED
Aromatic Notes,345,346,UNMATCHED,,,,,UNMATCHED
Cassia,345,345,UNMATCHED,,,"Cassia oil | Cassia oil, (low coumarin) | Cassia oil, rectified",,CANDIDATE_ONLY
Cranberry,344,344,UNMATCHED,,,,,UNMATCHED
Fennel,340,340,UNMATCHED,,,"Fennel oil, bitter | Fennel oil, sweet",,CANDIDATE_ONLY
Green Accord,340,340,UNMATCHED,,,,,UNMATCHED
Italian Mandarin,339,339,UNMATCHED,,,,,UNMATCHED
Virginian Cedar,337,337,UNMATCHED,,,,,UNMATCHED
Quince,335,335,UNMATCHED,,,,,UNMATCHED
Birch Tar,330,330,UNMATCHED,,,"Birch tar oil, rectified",,CANDIDATE_ONLY
Banana,327,335,MATCH_SECONDARY_DESCRIPTOR,Banana,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Cotton Flower,327,327,UNMATCHED,,,,,UNMATCHED
Lime (Linden) Blossom,326,330,UNMATCHED,,,,,UNMATCHED
Mastic or Lentisque,320,322,UNMATCHED,,,,,UNMATCHED
Sugar Cane,317,317,UNMATCHED,,,,,UNMATCHED
Mysore Sandalwood,312,315,UNMATCHED,,,,,UNMATCHED
Lemon Zest,311,311,UNMATCHED,,,,,UNMATCHED
Carrot,310,312,MATCH_SECONDARY_DESCRIPTOR,Carrot,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
White Wood,308,308,UNMATCHED,,,,,UNMATCHED
juniper berry,308,308,UNMATCHED,,,"Juniper berry absolute | Juniper berry CO2 extract | Juniper berry extract | Juniper berry oil | Juniper berry oil, rectified",,CANDIDATE_ONLY
Chestnut,307,309,UNMATCHED,,,,,UNMATCHED
Kumquat,306,307,UNMATCHED,,,,,UNMATCHED
Sand,304,305,UNMATCHED,,,,,UNMATCHED
Fern,304,304,UNMATCHED,,,,,UNMATCHED
Natural Musk,298,302,UNMATCHED,,,,,UNMATCHED
Tomato Leaf,293,298,UNMATCHED,,,,,UNMATCHED
Calone,279,279,UNMATCHED,,,,,UNMATCHED
Pine needles,278,279,UNMATCHED,,,,,UNMATCHED
Granny Smith apple,277,277,UNMATCHED,,,,,UNMATCHED
Almond Blossom,275,275,UNMATCHED,,,,,UNMATCHED
White Honey,275,275,UNMATCHED,,,,,UNMATCHED
Sweet Pea,269,269,MATCH_SECONDARY_DESCRIPTOR,Sweet-Pea,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Rose Oil,267,269,MATCH_PRINCIPAL_EXACT,Rose oil,PRINCIPAL,,,STRICT_MATCH
Passion Flower,265,266,UNMATCHED,,,,,UNMATCHED
Wisteria,263,264,UNMATCHED,,,,,UNMATCHED
Tahitian Vanilla,263,263,UNMATCHED,,,,,UNMATCHED
Red Rose,256,256,UNMATCHED,,,,,UNMATCHED
Red Wine,255,259,UNMATCHED,,,,,UNMATCHED
Papaya,255,257,UNMATCHED,,,,,UNMATCHED
Sour Cherry,251,256,UNMATCHED,,,,,UNMATCHED
Soil Tincture,251,254,UNMATCHED,,,,,UNMATCHED
Liquor,251,253,UNMATCHED,,,,,UNMATCHED
Wildflowers,251,251,UNMATCHED,,,,,UNMATCHED
Rose Water,249,249,UNMATCHED,,,Rose water oil,,CANDIDATE_ONLY
Black Cherry,246,247,UNMATCHED,,,,,UNMATCHED
Cashmere Musk,245,245,UNMATCHED,,,,,UNMATCHED
Coconut Water,245,245,UNMATCHED,,,,,UNMATCHED
Wild Strawberry,245,245,UNMATCHED,,,,,UNMATCHED
Oily Notes,240,241,UNMATCHED,,,,,UNMATCHED
Absinthe,236,237,UNMATCHED,,,,,UNMATCHED
Ice cream,235,237,UNMATCHED,,,,,UNMATCHED
Skin,235,237,UNMATCHED,,,,,UNMATCHED
Custard,234,234,UNMATCHED,,,,,UNMATCHED
Oregano,233,233,UNMATCHED,,,,,UNMATCHED
Ice,225,228,UNMATCHED,,,,,UNMATCHED
Black Amber,224,224,UNMATCHED,,,,,UNMATCHED
Pink Peony,224,224,UNMATCHED,,,,,UNMATCHED
Gourmand Accord,223,225,UNMATCHED,,,,,UNMATCHED
Tunisian Neroli,223,223,UNMATCHED,,,,,UNMATCHED
White Lily,221,223,UNMATCHED,,,,,UNMATCHED
Cade oil,221,221,MATCH_PRINCIPAL_EXACT,Cade oil,PRINCIPAL,,,STRICT_MATCH
Blonde Woods,218,218,UNMATCHED,,,,,UNMATCHED
Lemon Blossom,217,219,UNMATCHED,,,,,UNMATCHED
Sicilian Orange,217,217,UNMATCHED,,,,,UNMATCHED
Clover,214,215,UNMATCHED,,,,,UNMATCHED
Broom,213,215,UNMATCHED,,,,,UNMATCHED
Green Grass,213,213,UNMATCHED,,,,,UNMATCHED
Fir Resin,212,213,UNMATCHED,,,,,UNMATCHED
Texas Cedar,212,212,UNMATCHED,,,,,UNMATCHED
Gin,211,211,UNMATCHED,,,,,UNMATCHED
Ceylon Cinnamon,209,209,UNMATCHED,,,,,UNMATCHED
Wild Rose,208,208,UNMATCHED,,,,,UNMATCHED
Laotian Oud,207,211,UNMATCHED,,,,,UNMATCHED
Exotic Fruits,207,207,UNMATCHED,,,,,UNMATCHED
Thailand Oud,205,215,UNMATCHED,,,,,UNMATCHED
Hinoki Wood,205,205,UNMATCHED,,,Hinoki wood oil,,CANDIDATE_ONLY
Dew Drop,202,203,UNMATCHED,,,,,UNMATCHED
Tincture of Rose,201,201,UNMATCHED,,,,,UNMATCHED
Black Musk,199,200,UNMATCHED,,,,,UNMATCHED
Sicilian Mandarin,197,198,UNMATCHED,,,,,UNMATCHED
Turmeric,197,198,MATCH_PRINCIPAL_EXACT,Turmeric,PRINCIPAL,,,STRICT_MATCH
Almond Milk,197,197,UNMATCHED,,,,,UNMATCHED
Laurels,195,196,UNMATCHED,,,,,UNMATCHED
Guatemalan Cardamom,194,194,UNMATCHED,,,,,UNMATCHED
Tulip,193,194,UNMATCHED,,,,,UNMATCHED
Yellow Mandarin,188,188,UNMATCHED,,,,,UNMATCHED
Ebony,187,187,UNMATCHED,,,,,UNMATCHED
Iris Flower,186,189,UNMATCHED,,,,,UNMATCHED
Velvet,184,184,UNMATCHED,,,,,UNMATCHED
Blue Lotus,183,184,UNMATCHED,,,,,UNMATCHED
Indian Tuberose,183,183,UNMATCHED,,,,,UNMATCHED
Black currant leaf,182,183,UNMATCHED,,,,,UNMATCHED
Camphor,182,182,UNMATCHED,,,"Camphor oil, white | Camphor oil, white, rectified",,CANDIDATE_ONLY
Tea Rose,181,182,UNMATCHED,,,,,UNMATCHED
Truffle,181,181,MATCH_SECONDARY_DESCRIPTOR,Truffle,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Acácia,180,180,UNMATCHED,,,,,UNMATCHED
Pear Blossom,180,180,UNMATCHED,,,,,UNMATCHED
Tobacco Blossom,178,178,UNMATCHED,,,,,UNMATCHED
Costus,177,178,UNMATCHED,,,,,UNMATCHED
Sorbet,174,174,UNMATCHED,,,,,UNMATCHED
Cream,173,175,UNMATCHED,,,,,UNMATCHED
Rose Geranium,172,172,UNMATCHED,,,,,UNMATCHED
Hinoki,171,172,UNMATCHED,,,Hinoki wood oil | Hinoki leaf oil,,CANDIDATE_ONLY
Carambola (Star Fruit),171,171,UNMATCHED,,,,,UNMATCHED
Olive,169,170,UNMATCHED,,,,,UNMATCHED
Sesame,169,170,MATCH_SECONDARY_DESCRIPTOR,Sesame,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Allspice,169,169,UNMATCHED,,,Allspice oil,,CANDIDATE_ONLY
Plum Blossom,169,169,UNMATCHED,,,,,UNMATCHED
Nagarmotha,168,169,UNMATCHED,,,,,UNMATCHED
White Sandalwood,168,169,UNMATCHED,,,,,UNMATCHED
Brazilian Orange,168,168,UNMATCHED,,,,,UNMATCHED
Orange Peel,166,167,UNMATCHED,,,"Orange peel oil, sweet terpeneless",,CANDIDATE_ONLY
Mountain Air,166,166,UNMATCHED,,,,,UNMATCHED
Bourbon Geranium,163,164,UNMATCHED,,,,,UNMATCHED
Hiacynth,163,163,UNMATCHED,,,,,UNMATCHED
Gaiac Wood,161,161,UNMATCHED,,,,,UNMATCHED
Brandy,160,161,MATCH_SECONDARY_DESCRIPTOR,Brandy,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Grasse Rose,160,160,UNMATCHED,,,,,UNMATCHED
Matcha Tea,159,162,UNMATCHED,,,,,UNMATCHED
Blood Mandarin,159,159,UNMATCHED,,,,,UNMATCHED
Ginger flower,159,159,UNMATCHED,,,,,UNMATCHED
Rain Notes,159,159,UNMATCHED,,,,,UNMATCHED
Walnut,159,159,UNMATCHED,,,,,UNMATCHED
Java vetiver oil,158,159,UNMATCHED,,,,,UNMATCHED
Aloe Vera,158,158,UNMATCHED,,,,,UNMATCHED
Moroccan Jasmine,158,158,UNMATCHED,,,,,UNMATCHED
Night Blooming Jasmine,157,159,UNMATCHED,,,,,UNMATCHED
Chili Pepper,157,158,UNMATCHED,,,,,UNMATCHED
Litsea Cubeba,157,158,UNMATCHED,,,"Litsea cubeba oil | Litsea cubeba oil, rectified",,CANDIDATE_ONLY
Water Jasmine,157,157,UNMATCHED,,,,,UNMATCHED
Linden Blossom,156,160,UNMATCHED,,,,,UNMATCHED
Cupcake,156,156,UNMATCHED,,,,,UNMATCHED
Poppy,156,156,UNMATCHED,,,,,UNMATCHED
Black Rose,155,155,UNMATCHED,,,,,UNMATCHED
Exotic Woods,155,155,UNMATCHED,,,,,UNMATCHED
Vanilla Flower,155,155,UNMATCHED,,,,,UNMATCHED
Cardamon,154,155,UNMATCHED,,,,,UNMATCHED
Fig Tree,153,157,UNMATCHED,,,,,UNMATCHED
Exotic floral notes,152,152,UNMATCHED,,,,,UNMATCHED
Red Pepper,152,152,UNMATCHED,,,,,UNMATCHED
Biscuit,151,154,UNMATCHED,,,,,UNMATCHED
Spun Sugar,151,151,UNMATCHED,,,,,UNMATCHED
Nard Himalayan (Jatamansi),150,150,UNMATCHED,,,,,UNMATCHED
Tunisian Orange Blossom,148,148,UNMATCHED,,,,,UNMATCHED
Tuscan Iris,147,152,UNMATCHED,,,,,UNMATCHED
Ink,147,148,UNMATCHED,,,,,UNMATCHED
Maple,147,148,MATCH_SECONDARY_DESCRIPTOR,Maple,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Spearmint,146,146,MATCH_SECONDARY_DESCRIPTOR,Spearmint,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Pumpkin,145,147,UNMATCHED,,,,,UNMATCHED
Wheat,145,146,UNMATCHED,,,,,UNMATCHED
Copaiba balm,145,145,UNMATCHED,,,,,UNMATCHED
Lemon Peel,144,144,UNMATCHED,,,,,UNMATCHED
Palmarosa,143,143,UNMATCHED,,,Palmarosa oil,,CANDIDATE_ONLY
Cake,142,142,UNMATCHED,,,,,UNMATCHED
Marjoram,142,142,UNMATCHED,,,"Marjoram oil, Spanish | Marjoram oil, sweet",,CANDIDATE_ONLY
Black Orchid,141,142,UNMATCHED,,,,,UNMATCHED
Black Vanilla Husk,140,142,UNMATCHED,,,,,UNMATCHED
Spanish Labdanum,140,140,UNMATCHED,,,,,UNMATCHED
AmbrofixTM,139,139,UNMATCHED,,,,,UNMATCHED
Cistus Incanus,138,140,UNMATCHED,,,,,UNMATCHED
Hyrax,137,137,UNMATCHED,,,,,UNMATCHED
Olive Tree,136,137,UNMATCHED,,,,,UNMATCHED
Shiso,135,135,UNMATCHED,,,,,UNMATCHED
White Grapefruit,135,135,UNMATCHED,,,,,UNMATCHED
Bark,134,136,UNMATCHED,,,,,UNMATCHED
Syrup,133,133,UNMATCHED,,,,,UNMATCHED
Ambrox Super,132,132,UNMATCHED,,,,,UNMATCHED
Lemon Leaf,132,132,UNMATCHED,,,,,UNMATCHED
Ambrettolide,131,131,UNMATCHED,,,,,UNMATCHED
Crystal Amber,131,131,UNMATCHED,,,,,UNMATCHED
Rose Hip,131,131,UNMATCHED,,,,,UNMATCHED
White Tobacco,131,131,UNMATCHED,,,,,UNMATCHED
Mexican chocolate,130,130,UNMATCHED,,,,,UNMATCHED
Calamus,129,129,UNMATCHED,,,Calamus oil,,CANDIDATE_ONLY
Mushroom,128,130,MATCH_SECONDARY_DESCRIPTOR,Mushroom,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Cedar Needles,127,127,UNMATCHED,,,,,UNMATCHED
Datura,127,127,UNMATCHED,,,,,UNMATCHED
Bourbon Vetiver,125,125,UNMATCHED,,,,,UNMATCHED
Berries,124,126,UNMATCHED,,,,,UNMATCHED
Green Bell Pepper,124,124,UNMATCHED,,,,,UNMATCHED
Jasmine Tea,124,124,UNMATCHED,,,,,UNMATCHED
Rock rose,124,124,UNMATCHED,,,,,UNMATCHED
White Oud,122,123,UNMATCHED,,,,,UNMATCHED
Indian Patchouli,122,122,UNMATCHED,,,,,UNMATCHED
Patchouli Leaf,122,122,UNMATCHED,,,,,UNMATCHED
Pitahaya,122,122,UNMATCHED,,,,,UNMATCHED
Bubble Gum,119,121,UNMATCHED,,,,,UNMATCHED
Birch Leaf,119,120,UNMATCHED,,,,,UNMATCHED
Camellia,119,119,UNMATCHED,,,Camellia leaf extract,,CANDIDATE_ONLY
Amaretto,118,119,UNMATCHED,,,,,UNMATCHED
Himalayan Cedar,118,118,UNMATCHED,,,,,UNMATCHED
Paprika,118,118,UNMATCHED,,,Paprika oleoresin,,CANDIDATE_ONLY
Ebony Wood,117,117,UNMATCHED,,,,,UNMATCHED
Bellflower,116,117,UNMATCHED,,,,,UNMATCHED
Star Jasmine,116,116,UNMATCHED,,,,,UNMATCHED
Timur,116,116,UNMATCHED,,,,,UNMATCHED
Copal,115,118,UNMATCHED,,,,,UNMATCHED
Daisy,113,115,UNMATCHED,,,,,UNMATCHED
Spruce,113,113,UNMATCHED,,,"Spruce oil, Black",,CANDIDATE_ONLY
Black Elder,112,113,UNMATCHED,,,,,UNMATCHED
Chinese Osmanthus,112,112,UNMATCHED,,,,,UNMATCHED
Mandarin Blossom,112,112,UNMATCHED,,,,,UNMATCHED
Petalia,112,112,UNMATCHED,,,,,UNMATCHED
Clearwood,111,111,UNMATCHED,,,,,UNMATCHED
Pink Lotus,111,111,UNMATCHED,,,,,UNMATCHED
Red Cedar,111,111,UNMATCHED,,,,,UNMATCHED
Vodka,111,111,UNMATCHED,,,,,UNMATCHED
Popcorn,110,112,MATCH_SECONDARY_DESCRIPTOR,Popcorn,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Currant buds,110,110,UNMATCHED,,,,,UNMATCHED
Amber Xtreme,109,109,UNMATCHED,,,,,UNMATCHED
Paper,108,109,UNMATCHED,,,,,UNMATCHED
gunpowder,108,109,UNMATCHED,,,,,UNMATCHED
Algae,108,108,UNMATCHED,,,,,UNMATCHED
Candy apple,108,108,UNMATCHED,,,,,UNMATCHED
Tiare,107,107,UNMATCHED,,,,,UNMATCHED
Cinammon,106,107,UNMATCHED,,,,,UNMATCHED
Boronia,106,106,UNMATCHED,,,Boronia absolute,,CANDIDATE_ONLY
Cookie,106,106,UNMATCHED,,,,,UNMATCHED
OrcanoxTM,106,106,UNMATCHED,,,,,UNMATCHED
Tea Leaf,106,106,UNMATCHED,,,Tea leaf absolute | Tea leaf oil,,CANDIDATE_ONLY
Roasted Coffee Beans,105,107,UNMATCHED,,,,,UNMATCHED
Linen,105,105,UNMATCHED,,,,,UNMATCHED
Meringue,105,105,UNMATCHED,,,,,UNMATCHED
Buchu or Agathosma,104,104,UNMATCHED,,,,,UNMATCHED
Copahu Balm,104,104,UNMATCHED,,,,,UNMATCHED
Tamarind,103,103,UNMATCHED,,,Tamarind extract,,CANDIDATE_ONLY
White Lotus,103,103,UNMATCHED,,,,,UNMATCHED
Fresh note,102,104,UNMATCHED,,,,,UNMATCHED
Snow,102,103,UNMATCHED,,,,,UNMATCHED
Aromatic Spices,102,102,UNMATCHED,,,,,UNMATCHED
Cinnamon Leaf,102,102,UNMATCHED,,,"Cinnamon leaf oil | Cinnamon leaf oil, rectified | Cinnamon leaf oleoresin",,CANDIDATE_ONLY
Coconut Nectar,102,102,UNMATCHED,,,,,UNMATCHED
Syringa,102,102,UNMATCHED,,,,,UNMATCHED
Dried Plum,101,101,UNMATCHED,,,,,UNMATCHED
Sunflower,101,101,UNMATCHED,,,,,UNMATCHED
Celery,100,100,MATCH_SECONDARY_DESCRIPTOR,Celery,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Sweet Almond,100,100,UNMATCHED,,,,,UNMATCHED
Coca-Cola,99,104,UNMATCHED,,,,,UNMATCHED
Ash,99,99,UNMATCHED,,,,,UNMATCHED
Candied Fruits,99,99,UNMATCHED,,,,,UNMATCHED
Maple syrup,99,99,UNMATCHED,,,,,UNMATCHED
Pink Rose,99,99,UNMATCHED,,,,,UNMATCHED
Civetta,98,98,UNMATCHED,,,,,UNMATCHED
Raspberry Leaf,98,98,UNMATCHED,,,,,UNMATCHED
Lactones,97,98,UNMATCHED,,,,,UNMATCHED
Mandarin Leaf,97,97,UNMATCHED,,,,,UNMATCHED
Rhuburb,97,97,UNMATCHED,,,,,UNMATCHED
Cactus,96,97,UNMATCHED,,,,,UNMATCHED
Nectar,96,97,UNMATCHED,,,,,UNMATCHED
Fenugreek,96,96,MATCH_SECONDARY_DESCRIPTOR,Fenugreek,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Vanilla Pod,96,96,UNMATCHED,,,,,UNMATCHED
White Blossom,94,97,UNMATCHED,,,,,UNMATCHED
Madagascar Ylang-Ylang,93,94,UNMATCHED,,,,,UNMATCHED
Maltol,93,94,MATCH_PRINCIPAL_EXACT,Maltol,PRINCIPAL,,,STRICT_MATCH
Chrysanthemum,92,94,UNMATCHED,,,,,UNMATCHED
Bread,92,92,MATCH_SECONDARY_DESCRIPTOR,Bread,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Russian Leather,92,92,UNMATCHED,,,,,UNMATCHED
Cappuccino,91,92,UNMATCHED,,,,,UNMATCHED
Marzipan,91,91,UNMATCHED,,,,,UNMATCHED
Black Violet,90,90,UNMATCHED,,,,,UNMATCHED
Petitgrain Paraguay,90,90,UNMATCHED,,,,,UNMATCHED
Monoi Oil,89,90,UNMATCHED,,,,,UNMATCHED
Orange Oil,89,89,UNMATCHED,,,,,UNMATCHED
Water Hyacinth,89,89,UNMATCHED,,,,,UNMATCHED
Milk Chocolate,88,88,UNMATCHED,,,,,UNMATCHED
Vanilla Sugar,87,88,UNMATCHED,,,,,UNMATCHED
Ambrocenide,87,87,UNMATCHED,,,,,UNMATCHED
Gingerbread,87,87,UNMATCHED,,,,,UNMATCHED
Nutty Notes,87,87,UNMATCHED,,,,,UNMATCHED
Palm Leaf,86,87,UNMATCHED,,,,,UNMATCHED
Soap,86,87,UNMATCHED,,,,,UNMATCHED
Grapefruit blossom,86,86,UNMATCHED,,,,,UNMATCHED
Macarons,86,86,UNMATCHED,,,,,UNMATCHED
Oolong tea,85,85,UNMATCHED,,,,,UNMATCHED
Creme Brulee,83,83,UNMATCHED,,,,,UNMATCHED
Petrichor,83,83,UNMATCHED,,,,,UNMATCHED
Silk,83,83,UNMATCHED,,,,,UNMATCHED
Black locust,82,82,UNMATCHED,,,,,UNMATCHED
Camelia,82,82,UNMATCHED,,,,,UNMATCHED
Cherry Liqueur,82,82,UNMATCHED,,,,,UNMATCHED
Red Thyme,82,82,UNMATCHED,,,,,UNMATCHED
White Ginger Lily,82,82,UNMATCHED,,,,,UNMATCHED
Fig Nectar,81,82,UNMATCHED,,,,,UNMATCHED
Floral Fruity Notes,81,82,UNMATCHED,,,,,UNMATCHED
White Orchid,81,82,UNMATCHED,,,,,UNMATCHED
Apricot Blossom,81,81,UNMATCHED,,,,,UNMATCHED
Earl Grey Tea,81,81,UNMATCHED,,,,,UNMATCHED
Malt,81,81,UNMATCHED,,,Malt absolute,,CANDIDATE_ONLY
Mace,80,80,UNMATCHED,,,Mace absolute | Mace oil | Mace oleoresin,,CANDIDATE_ONLY
Agave,78,79,UNMATCHED,,,,,UNMATCHED
Nashi Pear,78,78,UNMATCHED,,,,,UNMATCHED
Pelargonium,78,78,UNMATCHED,,,,,UNMATCHED
Indian Sandalwood,77,78,UNMATCHED,,,,,UNMATCHED
Airy Note,77,77,UNMATCHED,,,,,UNMATCHED
Cabreuva,77,77,UNMATCHED,,,Cabreuva oil,,CANDIDATE_ONLY
Fire,77,77,UNMATCHED,,,,,UNMATCHED
Mojito,77,77,UNMATCHED,,,,,UNMATCHED
Stone,77,77,UNMATCHED,,,,,UNMATCHED
White Suede,77,77,UNMATCHED,,,,,UNMATCHED
dark woodsy notes,76,78,UNMATCHED,,,,,UNMATCHED
Blood,76,76,UNMATCHED,,,,,UNMATCHED
Cactus Flower,76,76,UNMATCHED,,,,,UNMATCHED
Condensed Milk,76,76,UNMATCHED,,,,,UNMATCHED
Pine Tree Needles,76,76,UNMATCHED,,,,,UNMATCHED
ebony tree,76,76,UNMATCHED,,,,,UNMATCHED
Lemon Tree,75,75,UNMATCHED,,,,,UNMATCHED
Mirabelle,75,75,UNMATCHED,,,,,UNMATCHED
Amaryllis,74,74,UNMATCHED,,,,,UNMATCHED
Bourbon Whiskey,74,74,UNMATCHED,,,,,UNMATCHED
Hyssop,74,74,UNMATCHED,,,Hyssop oil,,CANDIDATE_ONLY
Black Leather,73,73,UNMATCHED,,,,,UNMATCHED
Cetalox,73,73,UNMATCHED,,,,,UNMATCHED
Lavender Extract,73,73,MATCH_PRINCIPAL_EXACT,Lavender extract,PRINCIPAL,,,STRICT_MATCH
Red Mandarin,73,73,UNMATCHED,,,,,UNMATCHED
White Wine,73,73,UNMATCHED,,,,,UNMATCHED
Pandanus,72,73,UNMATCHED,,,,,UNMATCHED
Black Currant Blossom,72,72,UNMATCHED,,,,,UNMATCHED
Tahitian Vetiver,72,72,UNMATCHED,,,,,UNMATCHED
Tropical Fruit,72,72,MATCH_SECONDARY_DESCRIPTOR,Tropical-Fruit,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Burnt Sugar,71,71,UNMATCHED,,,,,UNMATCHED
Gooseberry,71,71,UNMATCHED,,,,,UNMATCHED
Red Peony,71,71,UNMATCHED,,,,,UNMATCHED
Sequoia,71,71,UNMATCHED,,,,,UNMATCHED
Cashmirwood,70,70,UNMATCHED,,,,,UNMATCHED
Plumeria,70,70,UNMATCHED,,,Plumeria absolute,,CANDIDATE_ONLY
White Iris,70,70,UNMATCHED,,,,,UNMATCHED
Georgywood,69,69,UNMATCHED,,,,,UNMATCHED
Lemon Balm,69,69,UNMATCHED,,,,,UNMATCHED
Liatris,69,69,UNMATCHED,,,,,UNMATCHED
Mahonial,69,69,UNMATCHED,,,,,UNMATCHED
Marshamallow,69,69,UNMATCHED,,,,,UNMATCHED
Opium,69,69,UNMATCHED,,,,,UNMATCHED
Persimmon,69,69,UNMATCHED,,,,,UNMATCHED
Synthetic Civet,69,69,UNMATCHED,,,,,UNMATCHED
Wild Lavender,69,69,UNMATCHED,,,,,UNMATCHED
plum,69,69,MATCH_SECONDARY_DESCRIPTOR,Plum,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Bamboo Leaf,68,69,UNMATCHED,,,,,UNMATCHED
Violet Root,67,68,UNMATCHED,,,,,UNMATCHED
Dahlia,67,67,UNMATCHED,,,,,UNMATCHED
Mugwort,67,67,UNMATCHED,,,,,UNMATCHED
Salted Caramel,67,67,UNMATCHED,,,,,UNMATCHED
