note,perfume_count,occurrence_count
Myrtle,502,504
Vanilla Orchid,496,496
Butter,492,496
Teak Wood,491,491
Aquatic notes,490,490
Tobacco Leaf,484,487
Rose de Mai,480,481
Italian Lemon,478,479
Myrhh,477,480
Apple Blossom,473,473
Guava,472,477
Earthy Notes,470,474
Vanilla Bean,469,470
Oriental notes,451,457
Cucumber,451,451
White Peach,447,448
Grapes,446,451
White Tea,443,445
Akigalawood,443,443
Taif Rose,441,445
Verbena,439,442
Cambodian Oud,438,445
Palo Santo,436,438
Mineral notes,433,435
Sandal,433,435
Rose Petals,428,430
Mahogany,428,429
Gurjan balsam,425,425
Carrot Seeds,424,424
Elemi resin,423,424
Siam Benzoin,421,421
Ivy,419,419
Balsamic Notes,415,415
Dry Wood,415,415
Sicilian Bergamot,412,412
French labdanum,411,411
Pimento,411,411
Champagne,410,410
Vetyver,409,410
Wild Berries,403,403
Metallic notes,402,406
Lemongrass,401,401
Dates,400,404
Cacao Pod,394,398
White Cedar Extract,382,382
Vanila,380,381
Moroccan Rose,379,380
Toffee,374,375
Kiwi,374,374
Rice,371,376
Indian Jasmine,370,371
Indian Oud,368,378
Tropical Fruits,364,365
Hawthorn,364,364
White Chocolate,363,368
Big Strawberry,354,355
Aromatic Notes,345,346
Cassia,345,345
Cranberry,344,344
Fennel,340,340
Green Accord,340,340
Italian Mandarin,339,339
Virginian Cedar,337,337
Quince,335,335
Birch Tar,330,330
Banana,327,335
Cotton Flower,327,327
Lime (Linden) Blossom,326,330
Mastic or Lentisque,320,322
Sugar Cane,317,317
Mysore Sandalwood,312,315
Lemon Zest,311,311
Carrot,310,312
White Wood,308,308
juniper berry,308,308
Chestnut,307,309
Kumquat,306,307
Sand,304,305
Fern,304,304
Natural Musk,298,302
Tomato Leaf,293,298
Calone,279,279
Pine needles,278,279
Granny Smith apple,277,277
Almond Blossom,275,275
White Honey,275,275
Sweet Pea,269,269
Rose Oil,267,269
Passion Flower,265,266
Wisteria,263,264
Tahitian Vanilla,263,263
Red Rose,256,256
Red Wine,255,259
Papaya,255,257
Sour Cherry,251,256
Soil Tincture,251,254
Liquor,251,253
Wildflowers,251,251
Rose Water,249,249
Black Cherry,246,247
Cashmere Musk,245,245
Coconut Water,245,245
Wild Strawberry,245,245
Oily Notes,240,241
Absinthe,236,237
Ice cream,235,237
Skin,235,237
Custard,234,234
Oregano,233,233
Ice,225,228
