composition,seed,family,family_ko,n,area_share,largest_blob_share,pieces,spread,on_own,has_territory
D1 cap30,2,GOURMAND,구르망,22,0.1193,0.9911,1,0.44,0.8182,True
D1 cap30,2,MUSK,머스크·파우더리,22,0.1649,0.8752,2,0.807,0.8636,True
D1 cap30,3,CITRUS,시트러스,26,0.1115,0.8412,4,0.355,0.8077,True
D1 cap30,3,FRUITY,프루티,9,0.0131,0.75,2,0.089,1.0,False
D1 cap30,3,FLORAL,플로럴,30,0.1183,0.8812,2,0.333,0.8667,True
D1 cap30,3,GREEN,그린·아로마틱,28,0.1893,1.0,1,0.326,0.8571,True
D1 cap30,3,AQUATIC,아쿠아틱,13,0.0856,0.8316,2,0.664,1.0,True
D1 cap30,3,WOODY,우디,28,0.1528,0.9343,2,0.378,0.8571,True
D1 cap30,3,AMBER,앰버·스파이시,22,0.1042,0.6042,4,0.584,0.9545,True
D1 cap30,3,GOURMAND,구르망,22,0.1028,0.5755,5,0.42,0.8182,False
D1 cap30,3,MUSK,머스크·파우더리,22,0.1225,0.6051,4,0.803,0.8182,True
D1 cap30,4,CITRUS,시트러스,26,0.1022,0.8662,3,0.346,0.8462,True
D1 cap30,4,FRUITY,프루티,9,0.0208,0.7396,2,0.11,1.0,False
D1 cap30,4,FLORAL,플로럴,30,0.1237,0.7316,3,0.352,0.9,True
D1 cap30,4,GREEN,그린·아로마틱,28,0.1823,1.0,1,0.345,0.9286,True
D1 cap30,4,AQUATIC,아쿠아틱,13,0.0525,0.5496,3,0.632,0.8462,False
D1 cap30,4,WOODY,우디,28,0.1508,0.9683,2,0.465,0.8571,True
D1 cap30,4,AMBER,앰버·스파이시,22,0.1194,0.48,4,0.613,0.9091,False
D1 cap30,4,GOURMAND,구르망,22,0.1222,0.5506,3,0.462,0.7727,False
D1 cap30,4,MUSK,머스크·파우더리,22,0.1261,0.9071,3,0.89,0.6818,True
D2 최대균형,42,CITRUS,시트러스,24,0.1038,0.9506,3,0.331,0.8333,True
D2 최대균형,42,FRUITY,프루티,14,0.0308,0.9127,2,0.146,0.9286,True
D2 최대균형,42,FLORAL,플로럴,24,0.0769,0.8667,2,0.314,0.875,True
D2 최대균형,42,GREEN,그린·아로마틱,24,0.1614,0.8064,3,0.401,0.9167,True
D2 최대균형,42,AQUATIC,아쿠아틱,15,0.0649,0.485,3,0.614,0.9333,False
D2 최대균형,42,WOODY,우디,24,0.1128,0.7879,3,0.613,0.7917,True
D2 최대균형,42,AMBER,앰버·스파이시,25,0.1084,0.4707,4,0.358,0.96,False
D2 최대균형,42,GOURMAND,구르망,25,0.1333,0.9139,3,0.459,0.88,True
D2 최대균형,42,MUSK,머스크·파우더리,25,0.2078,0.4853,6,1.177,0.92,False
D2 최대균형,1,CITRUS,시트러스,24,0.1176,0.9358,3,0.292,0.8333,True
D2 최대균형,1,FRUITY,프루티,14,0.0425,0.7415,4,0.151,1.0,True
D2 최대균형,1,FLORAL,플로럴,24,0.0775,0.894,3,0.329,0.75,True
