composition,fragrantica_id,x,y,family,korea_rank
D0 현재,65738,7.549767971038818,5.577951431274414,MUSK,1
D0 현재,83,8.274935722351074,7.6475749015808105,GREEN,2
D0 현재,74041,6.9710307121276855,7.734976291656494,AQUATIC,3
D0 현재,132132,11.984003067016602,8.908354759216309,FLORAL,4
D0 현재,9110,14.163942337036133,10.631510734558105,FLORAL,5
D0 현재,10131,11.725483894348145,11.059270858764648,MUSK,6
D0 현재,14214,13.296794891357422,10.635259628295898,FLORAL,7
D0 현재,32134,8.456671714782715,6.980930328369141,GREEN,8
D0 현재,20542,12.80583667755127,11.546299934387207,FLORAL,9
D0 현재,6686,12.808117866516113,11.526780128479004,FLORAL,10
D0 현재,68905,13.423882484436035,9.260944366455078,FLORAL,11
D0 현재,78945,13.801578521728516,10.964713096618652,FLORAL,12
D0 현재,72040,9.857351303100586,6.88191032409668,GREEN,13
D0 현재,75979,12.673786163330078,11.417696952819824,FLORAL,14
D0 현재,6188,12.142985343933105,11.168115615844727,MUSK,15
D0 현재,8441,14.194608688354492,10.397256851196289,FLORAL,16
D0 현재,15134,9.759960174560547,7.1772589683532715,GREEN,17
D0 현재,6458,7.4817585945129395,5.468897342681885,WOODY,18
D0 현재,68919,7.432087421417236,5.572951316833496,MUSK,19
D0 현재,276,8.50418472290039,7.799550533294678,CITRUS,20
D0 현재,1483,9.866171836853027,8.470697402954102,WOODY,21
D0 현재,56741,12.234707832336426,7.027345657348633,GOURMAND,22
D0 현재,1360,14.127486228942871,9.342726707458496,FLORAL,23
D0 현재,131717,12.287242889404297,11.536458969116211,MUSK,24
D0 현재,607,8.373992919921875,8.383367538452148,CITRUS,25
D0 현재,39970,12.175760269165039,6.898575782775879,GOURMAND,26
D0 현재,31661,12.205022811889648,7.857747554779053,GOURMAND,27
D0 현재,611,9.916709899902344,8.075305938720703,WOODY,28
D0 현재,30796,9.674065589904785,8.609312057495117,CITRUS,29
D0 현재,184,13.490793228149414,10.169301986694336,FLORAL,30
D0 현재,12192,8.959676742553711,9.156250953674316,CITRUS,31
D0 현재,48478,11.531557083129883,9.221078872680664,MUSK,32
D0 현재,18,8.229546546936035,7.861118793487549,GREEN,33
D0 현재,56077,12.457700729370117,10.041974067687988,GREEN,34
D0 현재,46187,8.227143287658691,5.452617645263672,WOODY,35
D0 현재,68578,13.607515335083008,9.416289329528809,FLORAL,36
D0 현재,27040,12.293972969055176,11.304486274719238,FLORAL,37
D0 현재,52359,12.96478271484375,10.168264389038086,FLORAL,38
D0 현재,29165,12.184653282165527,8.360066413879395,FRUITY,39
D0 현재,12201,7.935672283172607,5.325442790985107,WOODY,40
D0 현재,9405,13.839587211608887,10.219528198242188,FLORAL,41
D0 현재,64167,7.713423728942871,5.573269367218018,WOODY,42
D0 현재,131985,14.215173721313477,9.911194801330566,FLORAL,43
D0 현재,10314,12.577676773071289,9.306124687194824,FLORAL,44
D0 현재,653,12.201313972473145,8.74718189239502,FRUITY,45
D0 현재,3779,12.299144744873047,8.580230712890625,FRUITY,46
D0 현재,536,14.313664436340332,10.331507682800293,FLORAL,47
D0 현재,68416,12.878289222717285,11.460139274597168,FLORAL,48
D0 현재,632,13.934220314025879,10.599946022033691,FLORAL,49
D0 현재,44894,14.507990837097168,10.032044410705566,FLORAL,50
D0 현재,3575,9.399958610534668,5.505488395690918,AMBER,51
D0 현재,12310,11.809181213378906,10.434748649597168,MUSK,52
D0 현재,38914,12.42746353149414,8.218300819396973,FRUITY,53
D0 현재,73661,12.181559562683105,9.174839973449707,AQUATIC,54
D0 현재,50384,12.235142707824707,6.701018810272217,GOURMAND,55
D0 현재,17798,14.469449996948242,10.253912925720215,FLORAL,56
D0 현재,56076,14.030014038085938,9.380435943603516,FLORAL,57
D0 현재,5484,13.542584419250488,10.790963172912598,FLORAL,58
D0 현재,5585,8.445679664611816,7.2855024337768555,GREEN,59
D0 현재,109563,8.019893646240234,6.507832050323486,GREEN,60
D0 현재,42944,8.874424934387207,9.062886238098145,FLORAL,61
D0 현재,75642,14.440340042114258,10.20407485961914,FLORAL,62
D0 현재,11784,10.0150728225708,6.4195709228515625,GREEN,63
D0 현재,25836,13.44072151184082,10.221067428588867,FLORAL,64
D0 현재,275,7.921987533569336,7.0571818351745605,GREEN,65
D0 현재,108962,9.968573570251465,6.219715118408203,GOURMAND,66
D0 현재,23032,8.08499813079834,7.911995887756348,MUSK,67
D0 현재,10464,10.158761024475098,5.266005516052246,AMBER,68
D0 현재,18767,13.891181945800781,10.79831600189209,FLORAL,69
D0 현재,72062,8.993609428405762,8.726398468017578,CITRUS,70
D0 현재,72606,14.042930603027344,10.27806282043457,FLORAL,71
D0 현재,31861,9.060821533203125,5.698991775512695,AMBER,72
D0 현재,79437,7.629668712615967,7.603057861328125,AQUATIC,73
D0 현재,52002,9.160833358764648,5.638626575469971,AMBER,74
D0 현재,12426,11.966523170471191,6.401634693145752,GOURMAND,75
D0 현재,2271,9.217440605163574,9.151066780090332,CITRUS,76
D0 현재,3865,10.04481029510498,6.8292646408081055,GOURMAND,77
D0 현재,5534,8.828380584716797,8.480232238769531,CITRUS,78
D0 현재,644,9.114622116088867,8.031935691833496,CITRUS,79
D0 현재,2186,11.871333122253418,6.306885242462158,GOURMAND,80
D0 현재,92647,9.168156623840332,8.263086318969727,CITRUS,81
D0 현재,65792,7.593322277069092,6.802273273468018,AMBER,82
D0 현재,96192,12.49775218963623,11.056384086608887,FLORAL,83
D0 현재,39181,9.778862953186035,5.8434271812438965,GOURMAND,84
D0 현재,53671,6.864580154418945,7.721952438354492,AQUATIC,85
D0 현재,64022,7.748074531555176,7.173745155334473,GREEN,86
D0 현재,37603,11.248933792114258,5.8671040534973145,GOURMAND,87
D0 현재,74740,10.098075866699219,6.613464832305908,AMBER,88
D0 현재,45029,7.757192134857178,7.4817986488342285,GREEN,89
D0 현재,106298,8.571178436279297,8.034565925598145,GREEN,90
D0 현재,1923,7.1675944328308105,7.201034069061279,AQUATIC,91
D0 현재,93865,12.036168098449707,11.215934753417969,MUSK,92
D0 현재,95034,11.568382263183594,8.659406661987305,FRUITY,93
D0 현재,82586,12.345290184020996,9.087008476257324,FRUITY,94
D0 현재,116396,13.993111610412598,9.649043083190918,FLORAL,95
D0 현재,74107,7.951805591583252,5.288131237030029,WOODY,96
D0 현재,1929,13.59153938293457,10.165284156799316,FLORAL,97
D0 현재,90739,9.988022804260254,9.329497337341309,CITRUS,98
D0 현재,44174,8.760591506958008,6.145506858825684,WOODY,99
D0 현재,35456,8.159385681152344,6.898764610290527,GREEN,100
D0 현재,30567,9.089526176452637,8.534770965576172,CITRUS,101
D0 현재,8339,9.225451469421387,8.253673553466797,CITRUS,102
D0 현재,54976,9.203835487365723,9.327467918395996,FLORAL,103
D0 현재,104985,10.200778007507324,8.467209815979004,CITRUS,104
D0 현재,87956,14.497024536132812,10.123794555664062,FLORAL,105
D0 현재,95642,6.847886562347412,7.4948649406433105,AQUATIC,106
D0 현재,50790,11.790793418884277,11.084053039550781,MUSK,107
D0 현재,50786,8.95371150970459,6.293193817138672,WOODY,108
D0 현재,121230,10.058174133300781,6.775883197784424,GREEN,109
D0 현재,3024,7.177648544311523,7.922251224517822,CITRUS,110
D0 현재,73092,10.047566413879395,7.416447639465332,WOODY,111
D0 현재,106299,9.312124252319336,5.455489158630371,AMBER,112
D0 현재,31436,8.461974143981934,7.776124477386475,GREEN,113
D0 현재,890,8.083446502685547,5.933643817901611,WOODY,114
D0 현재,72796,8.602412223815918,5.862545013427734,WOODY,115
D0 현재,98468,8.883917808532715,8.30946159362793,CITRUS,116
D0 현재,59392,13.062931060791016,8.280184745788574,GOURMAND,117
D0 현재,60320,13.298470497131348,8.762801170349121,FLORAL,118
D0 현재,54885,10.17976188659668,5.268205165863037,AMBER,119
D0 현재,122211,12.750448226928711,11.572761535644531,MUSK,120
D0 현재,10728,13.560704231262207,9.026802062988281,FLORAL,121
D0 현재,76893,10.547331809997559,5.544674396514893,AMBER,122
D0 현재,94718,8.772360801696777,6.346404075622559,WOODY,123
D0 현재,115749,9.259272575378418,5.508738994598389,AMBER,124
D0 현재,109565,12.758308410644531,11.596088409423828,MUSK,125
D0 현재,75731,8.804337501525879,8.1491117477417,CITRUS,126
D0 현재,4849,13.17203426361084,10.634693145751953,FLORAL,127
D0 현재,42782,12.296507835388184,6.836395740509033,GOURMAND,128
D0 현재,16657,10.015266418457031,6.174036979675293,GREEN,129
D0 현재,122669,13.442757606506348,8.547962188720703,GOURMAND,130
D0 현재,76824,12.136809349060059,6.591372489929199,GOURMAND,131
D0 현재,42670,10.604223251342773,8.492548942565918,CITRUS,132
D0 현재,18042,13.155234336853027,9.63353157043457,FLORAL,133
D0 현재,99134,9.127918243408203,9.267629623413086,AMBER,134
D0 현재,74636,7.1262311935424805,7.816449165344238,AQUATIC,135
D0 현재,1198,7.166687965393066,7.2186150550842285,AQUATIC,136
D0 현재,4023,8.939821243286133,5.883328914642334,WOODY,137
D0 현재,43531,8.089519500732422,7.216684341430664,GREEN,138
D0 현재,129391,7.6414031982421875,5.433058738708496,MUSK,139
D0 현재,123059,11.676827430725098,8.559175491333008,FLORAL,140
D0 현재,69742,12.06440544128418,8.986937522888184,FLORAL,141
D0 현재,50789,9.117658615112305,9.452470779418945,FLORAL,142
D0 현재,6420,12.74030590057373,9.485560417175293,FLORAL,143
D0 현재,3172,8.892504692077637,5.618091583251953,AMBER,144
D0 현재,64015,13.767573356628418,8.977019309997559,FLORAL,145
D0 현재,1924,13.017085075378418,9.672107696533203,FLORAL,146
D0 현재,16931,14.090943336486816,10.00258731842041,FLORAL,147
D0 현재,115747,9.11540699005127,6.353623867034912,WOODY,148
D0 현재,115746,8.614228248596191,7.318228244781494,GREEN,149
D0 현재,95035,12.269586563110352,7.0004425048828125,GOURMAND,150
D0 현재,50225,9.04733657836914,9.38542366027832,FLORAL,151
D0 현재,37602,13.909177780151367,9.123367309570312,FLORAL,152
D0 현재,75969,12.182923316955566,6.722142219543457,GOURMAND,153
D0 현재,64093,11.976357460021973,11.394203186035156,MUSK,154
D0 현재,109564,8.039175033569336,5.394883155822754,WOODY,155
D0 현재,95156,12.60462474822998,8.243426322937012,GOURMAND,156
D0 현재,31247,8.140028953552246,5.7560715675354,WOODY,157
D0 현재,1000,13.28071403503418,9.715089797973633,FLORAL,158
D0 현재,103276,7.502583980560303,5.234493255615234,FLORAL,159
D0 현재,111273,13.572413444519043,8.777595520019531,FLORAL,160
D0 현재,57088,10.64748477935791,5.471870422363281,AMBER,161
D0 현재,50787,13.309149742126465,10.569317817687988,FLORAL,162
D0 현재,72,13.022566795349121,9.86902904510498,FLORAL,163
D0 현재,50788,8.183975219726562,6.529361248016357,GREEN,164
D0 현재,68367,12.071626663208008,8.35268497467041,FRUITY,165
D0 현재,815,7.203192234039307,7.120051860809326,AQUATIC,166
D0 현재,85144,8.187241554260254,5.417750835418701,WOODY,167
D0 현재,90834,9.314834594726562,9.62405776977539,FLORAL,168
D0 현재,57384,11.024949073791504,5.674792289733887,GOURMAND,169
D0 현재,46623,8.886120796203613,8.20055103302002,CITRUS,170
D0 현재,108587,12.336260795593262,8.910737991333008,AQUATIC,171
D0 현재,84224,10.576380729675293,8.415304183959961,CITRUS,172
D0 현재,39761,12.165149688720703,7.086018085479736,GOURMAND,173
D0 현재,70985,6.876633167266846,7.337355136871338,AQUATIC,174
D0 현재,52180,10.009870529174805,5.717901229858398,CITRUS,175
D0 현재,72381,11.397729873657227,8.291670799255371,FRUITY,176
D0 현재,485,9.811129570007324,8.373771667480469,CITRUS,177
D0 현재,116224,12.034132957458496,11.596647262573242,FLORAL,178
D0 현재,45711,13.603187561035156,10.918509483337402,FLORAL,179
D0 현재,103564,8.725950241088867,6.9701828956604,WOODY,180
D0 현재,63829,13.606882095336914,11.061699867248535,FLORAL,181
D0 현재,69281,8.009566307067871,6.350472450256348,WOODY,182
D0 현재,89712,10.30395221710205,5.5533552169799805,GOURMAND,183
D0 현재,54785,10.135234832763672,5.379675388336182,AMBER,184
D0 현재,47891,6.910860061645508,7.654857158660889,AQUATIC,185
D0 현재,48434,9.956621170043945,7.648573398590088,WOODY,186
