system,short,population,family,family_ko,fragrantica_id,brand,name,top1,family_mass_ratio
S7,7,korea200,CITRUS,시트러스,90739,Montale,Bubble Forever,0.4975,0.5615
S7,7,korea200,CITRUS,시트러스,72062,Dior,Dior Homme Cologne 2022,0.4854,0.7007
S7,7,korea200,FRUITY,프루티,95035,Youssoful,Berry Sexy,0.7194,0.3883
S7,7,korea200,FRUITY,프루티,56741,Ariana Grande,"Thank U, Next",0.6613,0.2088
S7,7,korea200,FRUITY,프루티,39970,Ariana Grande,Sweet Like Candy,0.6091,0.3374
S7,7,korea200,FRUITY,프루티,72381,Stéphane Humbert Lucas 777,God of Fire,0.5863,0.6792
S7,7,korea200,FRUITY,프루티,39761,Lush,29 High Street,0.551,0.392
S7,7,korea200,FLORAL,플로럴,20542,Maison Martin Margiela,Lazy Sunday Morning,1.0,0.4719
S7,7,korea200,FLORAL,플로럴,44894,Gucci,Gucci Bloom,0.9072,0.8818
S7,7,korea200,FLORAL,플로럴,75979,Forment,Cotton Hug,0.9066,0.5401
S7,7,korea200,FLORAL,플로럴,122211,Narciso Rodriguez,Pure Musc Blanc For Her,0.8889,0.3947
S7,7,korea200,FLORAL,플로럴,6686,Byredo,Blanche,0.8763,0.5495
S7,7,korea200,GREEN,그린·아로마틱,50384,Ariana Grande,Cloud,1.0,0.0629
S7,7,korea200,GREEN,그린·아로마틱,275,Calvin Klein,CK be,0.5728,0.7849
S7,7,korea200,GREEN,그린·아로마틱,43531,Etat Libre d'Orange,You Or Someone Like You,0.5647,0.9488
S7,7,korea200,GREEN,그린·아로마틱,35456,John Varvatos,Artisan Blu,0.4875,0.9281
S7,7,korea200,GREEN,그린·아로마틱,109563,Sennok,After Bath,0.4803,0.9249
S7,7,korea200,AQUATIC,아쿠아틱,53671,Parfums Berdoues,Azur Riviera,0.5574,0.9356
S7,7,korea200,AQUATIC,아쿠아틱,108587,Yugen,Inspire,0.5,0.6565
S7,7,korea200,AQUATIC,아쿠아틱,1198,Ralph Lauren,Polo Blue,0.4947,0.8333
S7,7,korea200,AQUATIC,아쿠아틱,47891,Maison Martin Margiela,Sailing Day,0.4698,0.9123
S7,7,korea200,AQUATIC,아쿠아틱,95642,Issey Miyake,Le Sel d’Issey,0.4555,1.0
S7,7,korea200,WOODY,우디,46187,Jo Malone London,English Oak & Hazelnut,0.8934,0.7349
S7,7,korea200,WOODY,우디,109564,Sennok,Slow September,0.7011,0.7632
S7,7,korea200,WOODY,우디,32523,Mercedes-Benz,Mercedes Benz Man,0.6137,0.8086
S7,7,korea200,WOODY,우디,120743,Maison Martin Margiela,Up At Dawn,0.6054,0.7129
S7,7,korea200,WOODY,우디,74107,Mancera,Jasmin Exclusif,0.6041,0.7762
S7,7,korea200,AMBER,앰버·스파이시,12426,Prada,Prada Candy,1.0,0.2451
S7,7,korea200,AMBER,앰버·스파이시,76824,Sabrina Carpenter,Sweet Tooth,1.0,0.0652
S7,7,korea200,AMBER,앰버·스파이시,57088,Essential Parfums,Divine Vanille,0.8893,0.6332
S7,7,korea200,AMBER,앰버·스파이시,2186,Montale,Chocolate Greedy,0.5923,0.303
S7,7,korea200,AMBER,앰버·스파이시,57384,Montale,Arabians Tonka,0.5556,0.5112
S8A_A,8A-A,korea200,CITRUS,시트러스,92647,Versace,Eros Energy,0.5181,1.0
S8A_A,8A-A,korea200,CITRUS,시트러스,30796,Chanel,Chance Eau Vive,0.4484,0.8415
S8A_A,8A-A,korea200,CITRUS,시트러스,30567,Nishane,Wulóng Chá,0.4132,0.9453
S8A_A,8A-A,korea200,CITRUS,시트러스,2271,Lanvin,Rumeur 2 Rose,0.4049,1.0
S8A_A,8A-A,korea200,CITRUS,시트러스,72062,Dior,Dior Homme Cologne 2022,0.4,0.8503
S8A_A,8A-A,korea200,FRUITY,프루티,72381,Stéphane Humbert Lucas 777,God of Fire,0.439,0.9071
S8A_A,8A-A,korea200,FRUITY,프루티,653,Salvatore Ferragamo,Incanto Charms,0.41,0.8998
S8A_A,8A-A,korea200,FRUITY,프루티,3779,Lanvin,Jeanne Lanvin,0.3663,0.8778
S8A_A,8A-A,korea200,FRUITY,프루티,29165,Jimmy Choo,Jimmy Choo Blossom,0.3378,0.908
S8A_A,8A-A,korea200,FRUITY,프루티,46300,Mancera,Musky Garden,0.3155,0.8638
