case_type,system,population,fragrantica_id,brand,name,family_9,family_this,mass_ratio,top_accords
assignment_change,7-A,korea200,124051,Postes,From.Saint-Tropez,MUSK,AMBER,0.7827,musky:100|powdery:83|citrus:50|sweet:38|yellow floral:36
assignment_change,7-A,korea200,46300,Mancera,Musky Garden,MUSK,FRUITY,0.8638,fruity:100|musky:55|powdery:50|rose:47|sweet:43
assignment_change,7-A,korea200,104123,Clean,Strawberry Fields,MUSK,AMBER,0.9175,fruity:100|sweet:88|musky:79|white floral:63|woody:40
assignment_change,7-A,korea200,114281,Tenui,Bare,MUSK,AMBER,0.9089,woody:100|aromatic:88|musky:63|white floral:63|fresh spicy:50
low_family_mass_7,7,korea200,50384,Ariana Grande,Cloud,GOURMAND,GREEN,0.0629,sweet:100|lactonic:49|vanilla:43|coconut:34|musky:24
low_family_mass_7,7,korea200,76824,Sabrina Carpenter,Sweet Tooth,GOURMAND,AMBER,0.0652,sweet:100|vanilla:63|powdery:35|musky:18|lactonic:18
low_family_mass_7,7,korea200,56741,Ariana Grande,"Thank U, Next",GOURMAND,FRUITY,0.2088,sweet:100|coconut:50|fruity:41|vanilla:30|rose:21
low_family_mass_7,7,korea200,12426,Prada,Prada Candy,GOURMAND,AMBER,0.2451,caramel:100|powdery:73|amber:51|sweet:50|vanilla:49
low_family_mass_7,7,korea200,42782,Mancera,Coco Vanille,GOURMAND,FLORAL,0.2961,vanilla:100|sweet:85|coconut:77|white floral:73|powdery:37
low_family_mass_7,7,korea200,2186,Montale,Chocolate Greedy,GOURMAND,AMBER,0.303,vanilla:100|cacao:90|warm spicy:77|sweet:59|citrus:32
low_family_mass_7,7,korea200,39970,Ariana Grande,Sweet Like Candy,GOURMAND,FRUITY,0.3374,sweet:100|fruity:67|vanilla:60|powdery:33|lactonic:23
low_family_mass_7,7,korea200,124051,Postes,From.Saint-Tropez,MUSK,CITRUS,0.3639,musky:100|powdery:83|citrus:50|sweet:38|yellow floral:36
low_family_mass_7,7,korea200,109565,Sennok,Soap Clean Soap,MUSK,FLORAL,0.3883,aldehydic:100|musky:100|fresh:62|powdery:60|soapy:30
low_family_mass_7,7,korea200,95035,Youssoful,Berry Sexy,GOURMAND,FRUITY,0.3883,fruity:100|sweet:80|vanilla:72|fresh:33|green:26
low_family_mass_7,7,korea200,39761,Lush,29 High Street,GOURMAND,FRUITY,0.392,sweet:100|fruity:54|honey:35|green:30|caramel:13
low_family_mass_7,7,korea200,122211,Narciso Rodriguez,Pure Musc Blanc For Her,MUSK,FLORAL,0.3947,white floral:100|fresh:82|musky:76|aldehydic:60|powdery:56
low_family_mass_7,7,korea200,75969,Jimmy Choo,I Want Choo Forever,GOURMAND,FRUITY,0.3973,vanilla:100|sweet:86|almond:70|cherry:65|amber:54
low_family_mass_7,7,korea200,93865,SW19,Midnight,MUSK,FLORAL,0.4032,powdery:100|musky:58|white floral:45|floral:33|fresh:27
low_family_mass_7,7,korea200,31661,Ariana Grande,Ari,GOURMAND,FRUITY,0.4158,sweet:100|fruity:64|powdery:42|citrus:23|rose:18
