source,source_rank,ranking_basis,ranking_updated_at,source_product_id,brand_raw,product_name_raw,package_info_raw,price_raw,commerce_price_raw,review_count,review_rating,is_rank_new,rank_delta,collected_at,source_file,har_entry_index
hwahae,24,카테고리별 랭킹,2026-09-03T05:00:00,1954133,포맨트,시그니처 퍼퓸 [코튼브리즈],50ml｜e 1.69 fl. oz.,62000,,12,4.75,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,25,카테고리별 랭킹,2026-09-03T05:00:00,2136962,비비앙,오 드 퍼퓸 [월넛크릭그린],10ml,57000,,16,4.62,false,3,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,26,카테고리별 랭킹,2026-09-03T05:00:00,2031474,바이레도,발 다프리크 오 드 퍼퓸,50ml,280000,,13,4.62,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,27,카테고리별 랭킹,2026-09-03T05:00:00,2169817,제니퍼로페즈,글로우 바이 제이로 EDT,30ML,60000,,13,4.62,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,28,카테고리별 랭킹,2026-09-03T05:00:00,1979487,산타마리아노벨라,피렌체 1221 에디션 오드코롱 [프리지아],50ml,145000,,51,4.49,false,-2,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,29,카테고리별 랭킹,2026-09-03T05:00:00,1940005,다슈,아쿠아 다이브 퍼퓸,10ml,22000,33000,13,4.77,false,7,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,30,카테고리별 랭킹,2026-09-03T05:00:00,2031885,CK,원 EDT,50ml,69000,,12,4.58,false,2,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,31,카테고리별 랭킹,2026-09-03T05:00:00,1969079,디올,쟈도르 오 드 퍼퓸,30 mL,128000,,239,4.33,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,32,카테고리별 랭킹,2026-09-03T05:00:00,2000075,샤넬,샹스 오 후레쉬 오 드 뚜왈렛,100ml,193000,,10,4.4,false,-3,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,33,카테고리별 랭킹,2026-09-03T05:00:00,1886673,아리아나그란데,땡큐 넥스트 EDP,30ml,57000,48450,87,4.54,false,-2,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,34,카테고리별 랭킹,2026-09-03T05:00:00,1756221,샤넬,N°5 오 프르미에르 오 드 빠르펭,35ml,100000,,73,4.27,false,1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,35,카테고리별 랭킹,2026-09-03T05:00:00,2049780,메종 마르지엘라,재즈 클럽 EDT,30ML,108000,,11,4.64,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,36,카테고리별 랭킹,2026-09-03T05:00:00,2042361,딥티크,오 드 퍼퓸 플레르 드 뽀,75ml,269000,,50,4.58,false,-3,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,37,카테고리별 랭킹,2026-09-03T05:00:00,1841124,샤넬,알뤼르 옴므 스포츠 오 드 뚜왈렛,50ml,134000,,28,4.75,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,38,카테고리별 랭킹,2026-09-03T05:00:00,1880993,아리아나그란데,스위트 라이크 캔디 EDP,30ml,57000,48450,88,4.38,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,39,카테고리별 랭킹,2026-09-03T05:00:00,1880999,아리아나그란데,아리 EDP,30ml,57000,48450,78,4.47,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
hwahae,40,카테고리별 랭킹,2026-09-03T05:00:00,1999654,샤넬,코코 마드모아젤 오 드 빠르펭,35ml,139000,,39,4.44,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,96
