fragrantica_id,accord_name,strength,rank
3865,fruity,35,5
3865,lactonic,32,6
3865,coconut,30,7
3865,tropical,9,8
5534,citrus,100,1
5534,white floral,52,2
5534,sweet,41,3
5534,fresh spicy,39,4
5534,aromatic,26,5
5534,fruity,24,6
5534,herbal,24,7
5534,musky,18,8
644,citrus,100,1
644,aromatic,63,2
644,woody,54,3
644,fruity,35,4
644,fresh spicy,32,5
644,tropical,28,6
644,warm spicy,25,7
644,fresh,21,8
2186,vanilla,100,1
2186,cacao,90,2
2186,warm spicy,77,3
2186,sweet,59,4
2186,citrus,32,5
2186,coffee,25,6
2186,powdery,25,7
2186,fruity,21,8
92647,citrus,100,1
92647,aromatic,18,2
92647,fresh spicy,18,3
92647,musky,13,4
92647,woody,12,5
92647,fruity,12,6
92647,mossy,10,7
92647,earthy,10,8
65792,fresh spicy,100,1
65792,aromatic,94,2
65792,citrus,73,3
65792,ozonic,60,4
65792,amber,57,5
65792,woody,53,6
65792,aquatic,44,7
65792,lavender,43,8
96192,floral,100,1
96192,musky,93,2
96192,citrus,64,3
96192,white floral,63,4
96192,powdery,61,5
96192,soft spicy,40,6
96192,mossy,37,7
96192,amber,32,8
39181,citrus,100,1
39181,aromatic,82,2
39181,oud,80,3
39181,almond,75,4
39181,fresh spicy,52,5
39181,vanilla,49,6
39181,nutty,45,7
39181,woody,44,8
53671,marine,100,1
53671,white floral,77,2
53671,aquatic,44,3
53671,aromatic,39,4
53671,salty,26,5
53671,citrus,19,6
53671,sweet,11,7
53671,animalic,10,8
64022,woody,100,1
64022,ozonic,78,2
64022,musky,62,3
64022,powdery,58,4
64022,green,57,5
64022,aromatic,56,6
64022,citrus,52,7
64022,lavender,49,8
37603,sweet,100,1
37603,coconut,84,2
37603,woody,80,3
37603,tobacco,78,4
37603,rum,64,5
37603,vanilla,59,6
37603,mossy,38,7
37603,lactonic,30,8
74740,fresh spicy,100,1
74740,soft spicy,89,2
74740,green,86,3
74740,tropical,82,4
74740,fruity,77,5
74740,sweet,70,6
74740,musky,58,7
74740,leather,51,8
45029,citrus,100,1
45029,musky,84,2
45029,green,72,3
45029,ozonic,67,4
45029,aromatic,67,5
45029,fresh spicy,61,6
