condition,seed,family,family_ko,signal,contributors,area_share,largest_blob_share,pieces,weighted_coverage,spread,has_territory
T0w (1위·가중),1,GOURMAND,구르망,9.7,20,0.0619,0.8883,2,0.8438,0.251,True
T0w (1위·가중),1,MUSK,머스크·파우더리,6.77,18,0.0856,0.607,5,0.7628,0.811,True
T0w (1위·가중),2,CITRUS,시트러스,7.57,23,0.1095,0.9138,3,0.8619,0.274,True
T0w (1위·가중),2,FRUITY,프루티,2.62,8,0.0331,0.9603,2,1.0,0.13,True
T0w (1위·가중),2,FLORAL,플로럴,26.92,61,0.2853,0.9038,3,0.8778,0.487,True
T0w (1위·가중),2,GREEN,그린·아로마틱,7.72,21,0.154,0.7208,2,0.911,0.343,True
T0w (1위·가중),2,AQUATIC,아쿠아틱,4.41,12,0.0658,0.74,2,1.0,0.511,True
T0w (1위·가중),2,WOODY,우디,9.27,23,0.1135,1.0,1,0.8492,0.403,True
T0w (1위·가중),2,AMBER,앰버·스파이시,5.27,14,0.0851,0.9742,2,0.8927,0.34,True
T0w (1위·가중),2,GOURMAND,구르망,9.7,20,0.0678,0.8414,2,0.8752,0.292,True
T0w (1위·가중),2,MUSK,머스크·파우더리,6.77,18,0.0858,0.6573,5,0.8113,0.745,True
T0w (1위·가중),3,CITRUS,시트러스,7.57,23,0.1034,0.9978,1,0.8619,0.222,True
T0w (1위·가중),3,FRUITY,프루티,2.62,8,0.0159,0.6377,3,1.0,0.108,False
T0w (1위·가중),3,FLORAL,플로럴,26.92,61,0.2705,0.8658,3,0.862,0.45,True
T0w (1위·가중),3,GREEN,그린·아로마틱,7.72,21,0.1402,0.7049,2,0.9685,0.303,True
T0w (1위·가중),3,AQUATIC,아쿠아틱,4.41,12,0.0848,0.7425,3,1.0,0.568,True
T0w (1위·가중),3,WOODY,우디,9.27,23,0.1186,0.9341,3,0.8557,0.344,True
T0w (1위·가중),3,AMBER,앰버·스파이시,5.27,14,0.0843,0.97,2,0.8927,0.311,True
T0w (1위·가중),3,GOURMAND,구르망,9.7,20,0.082,0.8768,2,0.8066,0.29,True
T0w (1위·가중),3,MUSK,머스크·파우더리,6.77,18,0.1004,0.6064,4,0.7596,0.853,True
T0w (1위·가중),4,CITRUS,시트러스,7.57,23,0.1024,0.9946,1,0.9314,0.284,True
T0w (1위·가중),4,FRUITY,프루티,2.62,8,0.0332,0.7479,2,1.0,0.161,True
T0w (1위·가중),4,FLORAL,플로럴,26.92,61,0.2949,0.8884,3,0.8867,0.492,True
T0w (1위·가중),4,GREEN,그린·아로마틱,7.72,21,0.1387,1.0,1,0.8793,0.339,True
T0w (1위·가중),4,AQUATIC,아쿠아틱,4.41,12,0.0695,0.8474,2,0.7953,0.487,True
T0w (1위·가중),4,WOODY,우디,9.27,23,0.1339,0.9271,2,0.8892,0.449,True
T0w (1위·가중),4,AMBER,앰버·스파이시,5.27,14,0.0745,1.0,1,0.8342,0.338,True
T0w (1위·가중),4,GOURMAND,구르망,9.7,20,0.0505,0.779,3,0.8769,0.268,True
T0w (1위·가중),4,MUSK,머스크·파우더리,6.77,18,0.1024,0.6213,6,0.7312,0.962,True
0.30 (T1),42,CITRUS,시트러스,8.54,26,0.1122,0.9756,2,0.8385,0.273,True
0.30 (T1),42,FRUITY,프루티,2.93,9,0.0529,0.6897,2,0.895,0.187,True
0.30 (T1),42,FLORAL,플로럴,29.06,67,0.274,0.8794,3,0.8049,0.509,True
0.30 (T1),42,GREEN,그린·아로마틱,9.34,26,0.1672,0.6638,2,0.7972,0.478,True
0.30 (T1),42,AQUATIC,아쿠아틱,4.41,12,0.0509,0.8674,3,0.8573,0.5,True
0.30 (T1),42,WOODY,우디,10.92,28,0.1177,0.9287,2,0.6988,0.55,True
0.30 (T1),42,AMBER,앰버·스파이시,5.27,14,0.0745,1.0,1,0.8342,0.342,True
0.30 (T1),42,GOURMAND,구르망,10.68,23,0.0741,0.8079,2,0.7671,0.358,True
0.30 (T1),42,MUSK,머스크·파우더리,8.57,23,0.0765,0.7494,3,0.838,0.726,True
0.30 (T1),1,CITRUS,시트러스,8.54,26,0.101,1.0,1,0.8743,0.253,True
0.30 (T1),1,FRUITY,프루티,2.93,9,0.0418,1.0,1,0.895,0.165,True
0.30 (T1),1,FLORAL,플로럴,29.06,67,0.2954,0.9013,2,0.7678,0.538,True
0.30 (T1),1,GREEN,그린·아로마틱,9.34,26,0.1532,0.7627,2,0.759,0.476,True
0.30 (T1),1,AQUATIC,아쿠아틱,4.41,12,0.043,0.8601,3,0.9392,0.547,True
0.30 (T1),1,WOODY,우디,10.92,28,0.1635,0.9412,2,0.7272,0.489,True
0.30 (T1),1,AMBER,앰버·스파이시,5.27,14,0.0712,1.0,1,0.7868,0.289,True
0.30 (T1),1,GOURMAND,구르망,10.68,23,0.0643,0.8645,2,0.7664,0.289,True
0.30 (T1),1,MUSK,머스크·파우더리,8.57,23,0.0667,0.8829,3,0.7836,0.706,True
