condition,seed,family,family_ko,signal,contributors,area_share,largest_blob_share,pieces,weighted_coverage,spread,has_territory
0.22,1,FLORAL,플로럴,32.4,80,0.2752,0.9279,3,0.6667,0.625,True
0.22,1,GREEN,그린·아로마틱,14.02,44,0.1617,0.7974,2,0.6284,0.461,True
0.22,1,AQUATIC,아쿠아틱,4.9,14,0.0334,0.982,1,0.7491,0.662,True
0.22,1,WOODY,우디,12.7,35,0.1502,0.994,1,0.6172,0.504,True
0.22,1,AMBER,앰버·스파이시,8.61,27,0.0736,1.0,1,0.566,0.44,True
0.22,1,GOURMAND,구르망,14.37,38,0.0679,0.8053,2,0.5442,0.455,True
0.22,1,MUSK,머스크·파우더리,13.48,42,0.0664,0.8869,3,0.5385,0.94,True
0.22,2,CITRUS,시트러스,11.64,38,0.1161,0.9981,1,0.7193,0.325,True
0.22,2,FRUITY,프루티,5.62,20,0.0603,1.0,1,0.6455,0.365,True
0.22,2,FLORAL,플로럴,32.4,80,0.2618,0.922,3,0.6742,0.595,True
0.22,2,GREEN,그린·아로마틱,14.02,44,0.1508,0.7977,3,0.6603,0.461,True
0.22,2,AQUATIC,아쿠아틱,4.9,14,0.0355,0.7099,3,0.4876,0.627,False
0.22,2,WOODY,우디,12.7,35,0.1481,1.0,1,0.6193,0.514,True
0.22,2,AMBER,앰버·스파이시,8.61,27,0.097,1.0,1,0.599,0.492,True
0.22,2,GOURMAND,구르망,14.37,38,0.0658,0.7967,2,0.5395,0.529,True
0.22,2,MUSK,머스크·파우더리,13.48,42,0.0645,0.9932,1,0.497,0.867,False
0.22,3,CITRUS,시트러스,11.64,38,0.1193,0.9981,1,0.7269,0.292,True
0.22,3,FRUITY,프루티,5.62,20,0.0655,0.993,1,0.6041,0.349,True
0.22,3,FLORAL,플로럴,32.4,80,0.2445,0.9023,2,0.6818,0.549,True
0.22,3,GREEN,그린·아로마틱,14.02,44,0.1301,0.7809,2,0.5875,0.429,True
0.22,3,AQUATIC,아쿠아틱,4.9,14,0.0568,0.9433,2,0.8255,0.679,True
0.22,3,WOODY,우디,12.7,35,0.1351,0.9881,2,0.6408,0.472,True
0.22,3,AMBER,앰버·스파이시,8.61,27,0.1029,1.0,1,0.63,0.491,True
0.22,3,GOURMAND,구르망,14.37,38,0.0781,0.8206,2,0.4826,0.495,False
0.22,3,MUSK,머스크·파우더리,13.48,42,0.0678,0.9763,1,0.5385,0.936,True
0.22,4,CITRUS,시트러스,11.64,38,0.1085,1.0,1,0.7296,0.342,True
0.22,4,FRUITY,프루티,5.62,20,0.0583,1.0,1,0.6455,0.374,True
0.22,4,FLORAL,플로럴,32.4,80,0.2829,0.8994,3,0.6762,0.601,True
0.22,4,GREEN,그린·아로마틱,14.02,44,0.1671,1.0,1,0.6022,0.469,True
0.22,4,AQUATIC,아쿠아틱,4.9,14,0.0371,0.8421,3,0.7171,0.584,True
0.22,4,WOODY,우디,12.7,35,0.1325,0.9768,2,0.6437,0.576,True
0.22,4,AMBER,앰버·스파이시,8.61,27,0.0826,1.0,1,0.599,0.508,True
0.22,4,GOURMAND,구르망,14.37,38,0.0477,0.8246,2,0.5183,0.462,True
0.22,4,MUSK,머스크·파우더리,13.48,42,0.0831,0.8725,2,0.5928,1.05,True
0.20 (T2),42,CITRUS,시트러스,12.91,44,0.13,1.0,1,0.6905,0.401,True
0.20 (T2),42,FRUITY,프루티,7.31,28,0.0883,1.0,1,0.5834,0.411,True
0.20 (T2),42,FLORAL,플로럴,33.43,85,0.2402,0.9217,4,0.6374,0.598,True
0.20 (T2),42,GREEN,그린·아로마틱,15.5,51,0.1641,0.7175,4,0.5673,0.503,True
0.20 (T2),42,AQUATIC,아쿠아틱,4.9,14,0.0409,0.9955,1,0.773,0.608,True
0.20 (T2),42,WOODY,우디,14.59,44,0.1017,0.912,2,0.5625,0.584,True
0.20 (T2),42,AMBER,앰버·스파이시,11.33,40,0.1159,0.9795,2,0.5156,0.659,True
0.20 (T2),42,GOURMAND,구르망,15.81,45,0.0591,0.8611,2,0.4391,0.567,False
0.20 (T2),42,MUSK,머스크·파우더리,15.35,51,0.0599,0.9939,1,0.457,0.954,False
0.20 (T2),1,CITRUS,시트러스,12.91,44,0.137,1.0,1,0.672,0.392,True
0.20 (T2),1,FRUITY,프루티,7.31,28,0.0646,1.0,1,0.5549,0.398,True
0.20 (T2),1,FLORAL,플로럴,33.43,85,0.2563,0.9812,2,0.6389,0.633,True
0.20 (T2),1,GREEN,그린·아로마틱,15.5,51,0.1559,0.8227,2,0.5531,0.489,True
0.20 (T2),1,AQUATIC,아쿠아틱,4.9,14,0.0309,0.9903,1,0.6966,0.662,True
0.20 (T2),1,WOODY,우디,14.59,44,0.1169,0.5321,2,0.5387,0.504,False
0.20 (T2),1,AMBER,앰버·스파이시,11.33,40,0.1166,1.0,1,0.4849,0.56,False
0.20 (T2),1,GOURMAND,구르망,15.81,45,0.0589,0.8418,2,0.4946,0.482,False
0.20 (T2),1,MUSK,머스크·파우더리,15.35,51,0.0628,0.9378,2,0.473,0.968,False
0.20 (T2),2,CITRUS,시트러스,12.91,44,0.1321,1.0,1,0.6466,0.402,True
0.20 (T2),2,FRUITY,프루티,7.31,28,0.0764,1.0,1,0.5834,0.411,True
0.20 (T2),2,FLORAL,플로럴,33.43,85,0.2442,0.9461,3,0.6546,0.604,True
0.20 (T2),2,GREEN,그린·아로마틱,15.5,51,0.1378,0.8646,2,0.5522,0.49,True
0.20 (T2),2,AQUATIC,아쿠아틱,4.9,14,0.0281,0.8281,2,0.4876,0.627,False
0.20 (T2),2,WOODY,우디,14.59,44,0.1312,1.0,1,0.5387,0.521,True
0.20 (T2),2,AMBER,앰버·스파이시,11.33,40,0.1253,0.993,1,0.5193,0.623,True
0.20 (T2),2,GOURMAND,구르망,15.81,45,0.0586,0.8539,2,0.4715,0.558,False
0.20 (T2),2,MUSK,머스크·파우더리,15.35,51,0.0663,0.9735,2,0.4365,0.887,False
0.20 (T2),3,CITRUS,시트러스,12.91,44,0.1358,0.9983,1,0.672,0.374,True
0.20 (T2),3,FRUITY,프루티,7.31,28,0.0719,1.0,1,0.5516,0.399,True
0.20 (T2),3,FLORAL,플로럴,33.43,85,0.2339,0.9489,2,0.6499,0.557,True
0.20 (T2),3,GREEN,그린·아로마틱,15.5,51,0.128,0.8133,2,0.5189,0.458,True
0.20 (T2),3,AQUATIC,아쿠아틱,4.9,14,0.0524,0.9737,2,0.7696,0.679,True
0.20 (T2),3,WOODY,우디,14.59,44,0.1206,0.9943,1,0.5813,0.478,True
0.20 (T2),3,AMBER,앰버·스파이시,11.33,40,0.122,0.9925,1,0.5428,0.616,True
0.20 (T2),3,GOURMAND,구르망,15.81,45,0.0692,0.9169,2,0.4198,0.522,False
0.20 (T2),3,MUSK,머스크·파우더리,15.35,51,0.0662,1.0,1,0.473,0.953,False
0.20 (T2),4,CITRUS,시트러스,12.91,44,0.1177,1.0,1,0.6508,0.413,True
0.20 (T2),4,FRUITY,프루티,7.31,28,0.0564,1.0,1,0.5834,0.399,True
0.20 (T2),4,FLORAL,플로럴,33.43,85,0.2759,0.9333,3,0.6338,0.608,True
0.20 (T2),4,GREEN,그린·아로마틱,15.5,51,0.1671,1.0,1,0.5531,0.499,True
0.20 (T2),4,AQUATIC,아쿠아틱,4.9,14,0.0324,0.8879,2,0.7171,0.584,True
0.20 (T2),4,WOODY,우디,14.59,44,0.1247,0.9821,2,0.5887,0.582,True
0.20 (T2),4,AMBER,앰버·스파이시,11.33,40,0.0971,1.0,1,0.5156,0.646,True
0.20 (T2),4,GOURMAND,구르망,15.81,45,0.0466,0.8443,2,0.4198,0.484,False
0.20 (T2),4,MUSK,머스크·파우더리,15.35,51,0.082,0.8844,2,0.4903,1.059,False
